grant_fiscal_year,funding_program,grant_number,project_year,organization_name,upin,description,ali,contract_number,allocationamount,encumbered_amount,expendedamount,activebalance,closedoutbalance,project_status,project_closed_by,project_closed_date,project_closed_time,ntd_id,itp_id,name_NTD_Airtable,doing_business_as,reporter_acronym,organization_type,reporter_type,city,county,mobility_services_operated,merge_status,vehicle_purchase,operating_assistance,mobility_management,hardware_software_purchase,communications,facilities_eqp,surveillance,subsidy,project_categories
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Amador Transit,BCG0001035,Operating Assistance,300901,64AO18-00677,30144.0,30144.0,30144.0,0.0,0,Open,,,,9R02-91000,11.0,Amador Regional Transit System,,ARTS,Independent Public Agency or Authority of Transit Service,Rural Reporter,Jackson,Amador,"Amador Transit,Amador Transit Dial-A-Ride","Manual Match, NTD",0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,City of Lafayette: Lamorinda Sprit Van Program,BCG0000560,Operating Assistance,300901,64AO18-00775,171122.0,186247.0,186247.0,-15125.0,0,Open,,,,,416.0,City of Lafayette,,,"City, County or Local Government Unit or Department of Transportation",,Lafayette,Contra Costa,Lamorinda Spirit Van,"Manual Match, Airtable",0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,City of Roseville,BCG0000514,Mobility Management,117L00,64AM18-00749,-75409.11,59590.89,59590.89,-135000.0,0,Open,,,,90168,271.0,City of Roseville,Roseville Transit,,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,Roseville,Placer,"Roseville Transit,Roseville Dial-A-Ride",Name Match; NTD,0,0,1,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,City of Roseville,BCG0000514,Mobility Management,117L00,64AM18-00749,135000.0,59590.89,59590.89,75409.11,0,Open,,,,90168,271.0,City of Roseville,Roseville Transit,,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,Roseville,Placer,"Roseville Transit,Roseville Dial-A-Ride",Name Match; NTD,0,0,1,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,City of Vista ,BCG0000406,Operating Assistance,300901,64AO18-00678,293222.0,293222.0,291504.79,1717.21,0,Open,,,,,,City of Vista,,,"City, County or Local Government Unit or Department of Transportation",,Vista,San Diego,,"Manual Match, Airtable",0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Coastal Seniors Inc,BCG0000471,Operating Assistance,300901,64AO18-00637,251725.0,251725.0,240000.28,11724.72,0,Open,,,,,418.0,Coastal Seniors,,,Non-Profit Organization,,Point Area,Mendocino,Point Arena Coastal Seniors,"Manual Match, Airtable",0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Community Bridges Liftline,BCG0000564,Operating Assistance,300901,64AO18-00679,475200.0,475200.0,475200.0,0.0,0,Open,,,,,420.0,Community Bridges Inc,,,Non-Profit Organization,,Watsonville,"Monterey, San Mateo, San Benito, Santa Clara, San Francisco",Lift Line,"Manual Match, Airtable",0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Community Partners In Caring,BCG0000400,Operating Assistance,300901,64AO18-00680,430685.0,430685.0,430685.0,0.0,0,Open,,,,,,Partners in Caring,,,Non-Profit Organization,,Santa Maria,Santa Barbara,,"Manual Match, Airtable",0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Consolidated Tribal Health Project Inc,BCG0000378,Operating Assistance,300901,64AO18-00632,244787.0,244787.0,244787.0,0.0,0,Open,,,,,,,,,Non-Profit Organization,,Redwood Valley,Mendocino,,No Match,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,County of Sacramento Department of Child Family and Adult Services,BCG0000953,Operating Assistance Volunteer Driver program,300901,64AO18-00776,80000.0,393558.0,393389.02,-313389.02,0,Open,,,,,,,,,Independent Agency,,Sacramento,Sacramento,,No Match,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,County of Sacramento Department of Child Family and Adult Services,BCG0000953,Operating Assistance Volunteer Driver program,300901,64AO18-00776,313558.0,393558.0,393389.02,-79831.02,0,Open,,,,,,,,,Independent Agency,,Sacramento,Sacramento,,No Match,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,County of Sonoma Human Services Department Adult and Aging Division,BCG0000862,Operating Assistance,300901,64AO18-00690,83040.0,83040.0,83040.0,0.0,0,Open,,,,,,,,,Independent Agency,,Sonoma,Sonoma,,No Match,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,County of Ventura Health Services Agency,BCG0000746,Operating Assistance,300901,64AO18-00681,60000.0,60000.0,60000.0,0.0,0,Open,,,,,,,,,Independent Agency,,Ventura ,Ventura,,No Match,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Dignity Community Care,BCG0001371,Operating Assistance,300901,64AO18-00778,186972.0,186972.0,186972.0,0.0,0,In Development,,,,,,,,,Other,,,,,No Match,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Dignity Health Connected Living,BCG0000904,Operating Assistance,300901,64AO18-00684,530302.0,530302.0,505015.89,25286.11,0,Open,,,,,422.0,Dignity Health,,,Non-Profit Organization,,Redding,Shasta,"Dignity Health Connected Living,Shasta Connect","Manual Match, Airtable",0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Drivers for Survivors Inc,BCG0000658,Operating Assistance,300901,64AO18-00779,187922.0,187922.0,187922.0,0.0,0,Open,,,,,423.0,Drivers for Survivors,,,Non-Profit Organization,,Fremont,Alameda,,"Manual Match, Airtable",0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Eastern Sierra Transit Authority,BCG0000521,Operating Assistance,300901,64AO18-00633,60120.0,60120.0,59364.56,755.44,0,Open,,,,9R02-91062,99.0,Eastern Sierra Transit Authority,,ESTA,Independent Public Agency or Authority of Transit Service,Rural Reporter,Bishop,Inyo,"Eastern Sierra Transit Authority Community Routes,Reds Meadow Shuttle,Mammoth Lakes Trolleys,ESTA 395 Routes,Mammoth Lakes Buses,Lone Pine Dial-A-Ride,Walker Pine Dial-A-Ride,Bishop Dial-A-Ride,Mammoth Lakes Dial-A-Ride",Name Match; NTD,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,ElderHelp of San Diego,BCG0000943,Operating Assistance,300901,64AO18-00682,224212.0,224212.0,224211.47,0.53,0,Open,,,,,427.0,ElderHelp of San Diego,,,Non-Profit Organization,,San Diego,San Diego,Seniors A Go Go,Name Match; Airtable,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Faith in Action,BCG0000415,Operating Assistance,300901,64AO18-00683,300000.0,300000.0,300000.0,0.0,0,Open,,,,,,Faith in Action Inc,,,Non-Profit Organization,,Vacaville,Solano,Ride with Pride,"Manual Match, Airtable",0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Foothill AIDS Project,BCG0000718,Operating Assistance,300901,64AO18-00780,154272.0,154272.0,154271.97,0.03,0,Open,,,,,,,,,Non-Profit Organization,,Riverside,"San Bernardino, Riverside, Los Angeles",,No Match,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Friends of Children with Special Needs,BCG0000628,Operating Assistance,300901,64AO18-00781,335488.0,335488.0,335488.0,0.0,0,Open,,,,,,Friends of Children with Special Needs,,,Non-Profit Organization,,Fremont,"Santa Clara, Alameda",,Name Match; Airtable,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Friends of Children with Special Needs,BCG0001391,Buy Van For Svc Expansion,111315,64AC18-00740,-49000.0,49000.0,0.0,0.0,0,In Development,,,,,,Friends of Children with Special Needs,,,Non-Profit Organization,,Fremont,"Santa Clara, Alameda",,Name Match; Airtable,1,0,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Friends of Children with Special Needs,BCG0001391,Buy Van For Svc Expansion,111315,64AC18-00740,49000.0,49000.0,0.0,0.0,0,In Development,,,,,,Friends of Children with Special Needs,,,Non-Profit Organization,,Fremont,"Santa Clara, Alameda",,Name Match; Airtable,1,0,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Humboldt Medi-Trans,BCG0000556,Operating Assistance,300901,64AO18-00685,300000.0,300000.0,300000.0,0.0,0,Open,,,,,,Humboldt Medi-Trans Inc,,,Non-Profit Organization,,McKinleyville,Humboldt,Humboldt Medi-Trans,"Manual Match, Airtable",0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Independent Living Partnership,BCG0000620,Operating Assistance,300901,64AO18-00782,483578.0,483578.0,483568.0,10.0,0,Open,,,,,433.0,Independent Living Partnership,,,Non-Profit Organization,,Riverside,Riverside,,Name Match; Airtable,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Independent Living Partnership,BCG0000642,Operating Assistance,300901,64AO18-00752,168433.0,196851.0,168433.0,0.0,0,Open,,,,,433.0,Independent Living Partnership,,,Non-Profit Organization,,Riverside,Riverside,,Name Match; Airtable,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Lake Transit Authority,BCG0000569,5310 Lake County NEMT Operating Assistance,300901,64AO18-00686,225139.0,225139.0,224948.84,190.16,0,Open,,,,9R02-91053,159.0,Lake Transit Authority,,LTA,Independent Public Agency or Authority of Transit Service,Rural Reporter,Lower Lake,Lake,"Lake Transit,Clearlake/Lower Lake Dial-A-Ride,Lakeport Dial-A-Ride",Name Match; NTD,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Lake Transit Authority,BCG0000762,5310 Lake County Volunteer Driver Program Operating Assistance,300901,64AO18-00634,65520.0,65520.0,65520.0,0.0,0,Open,,,,9R02-91053,159.0,Lake Transit Authority,,LTA,Independent Public Agency or Authority of Transit Service,Rural Reporter,Lower Lake,Lake,"Lake Transit,Clearlake/Lower Lake Dial-A-Ride,Lakeport Dial-A-Ride",Name Match; NTD,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,LIFE ElderCare,BCG0000604,Operating Assistance,300901,64AO18-00783,500000.0,500000.0,500000.0,0.0,0,Open,,,,,437.0,LIFE ElderCare,,,Non-Profit Organization,,Fremont,Alameda,Life ElderCare,Name Match; Airtable,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,LIFE ElderCare,BCG0003096,Operating Assistance,300901,64AO19-01471,302658.0,302658.0,87679.84,214978.16,0,Open,,,,,437.0,LIFE ElderCare,,,Non-Profit Organization,,Fremont,Alameda,Life ElderCare,Name Match; Airtable,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Lutheran Social Services of Southern California,BCG0000984,Operating Assistance,300901,64AO18-00784,300300.0,300300.0,278736.23,21563.77,0,Open,,,,,439.0,Lutheran Social Services,,,Non-Profit Organization,,Orange,"Orange, Los Angeles, Riverside, San Bernardino, Ventura",,"Manual Match, Airtable",0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Marin County Transit District,BCG0000410,Operating Assistance - Operating Accessible Vans,300901,64AO18-00785,700000.0,700000.0,699999.99,0.01,0,Open,,,,90234,194.0,Marin County Transit District,,,Independent Public Agency or Authority of Transit Service,Full Reporter,San Rafael,Marin,"Marin Transit,West Marin Stagecoach,Novato Dial-A-Ride,Dillon Beach/Tomales Dial-A-Ride,Point Reyes Dial-A-Ride",Name Match; NTD,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Mental Health Client Action Network (MHCAN) ,BCG0000806,Operating Assistance,300901,64AO18-00687,140304.0,140304.0,140302.63,1.37,0,Open,,,,,,,,,Non-Profit Organization,,Santa Cruz,Santa Cruz,,No Match,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Mobility Matters,BCG0000910,Operating Assistance,300901,64AO18-00725,171120.0,171120.0,171119.96,0.04,0,Open,,,,,442.0,Mobility Matters,,,Non-Profit Organization,,Lafayette,Contra Costa,"Mobility Matters Rides for Seniors,Mobility Matters Rides 4 Veterans",Name Match; Airtable,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Mobility Matters,BCG0000919,Operating Assistance,300901,64AO18-00787,224623.0,224623.0,224623.0,0.0,0,Open,,,,,442.0,Mobility Matters,,,Non-Profit Organization,,Lafayette,Contra Costa,"Mobility Matters Rides for Seniors,Mobility Matters Rides 4 Veterans",Name Match; Airtable,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Morongo Basin Transit Authority,BCG0000726,Operating Assistance,300901,64AO18-00635,180117.0,180117.0,180117.0,0.0,0,Open,,,,9R02-91090,212.0,Morongo Basin Transit Authority,,MBTA,Independent Public Agency or Authority of Transit Service,Rural Reporter,Joshua Tree,San Bernardino,"MBTA Bus,MBTA Ready Ride",Name Match; NTD,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,NCI Affiliates,BCG0000636,Operating Assistance,300901,64AO18-00636,225600.0,225600.0,225600.0,0.0,0,Open,,,,,,,,,Non-Profit Organization,,Paso Robles,"Santa Barbara, Monterey, San Luis Obispo",,No Match,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,North of the River Recreation and Park District,BCG0001349,Operating Assistance,300901,64AO18-00788,439240.0,439240.0,439240.0,0.0,0,Open,,,,,,North of River Recreation and Park District,,,Independent Agency,,Bakersfield,Kern,North of River Recreation and Park District,"Manual Match, Airtable",0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,OPARC,BCG0000907,Operating Assistance,300901,64AO18-00789,258772.0,258772.0,258772.0,0.0,0,Open,,,,,,,,,Non-Profit Organization,,Montclair,San Bernardino,,No Match,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Outreach & Escort Inc ,BCG0002518,Operating Assistance,300901,64AO18-01023,400000.0,400000.0,400000.0,0.0,0,In Development,,,,,448.0,OUTREACH,,,Non-Profit Organization,,San Jose,Santa Clara,OUTREACH Senior and Disabled Transportation and Resources,"Manual Match, Airtable",0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Peninsula Jewish Community Center,BCG0000485,Operating Assistance,300901,64AO18-00790,396000.0,396000.0,396000.0,0.0,0,Open,,,,,450.0,Peninsula Jewish Community Center,,,Non-Profit Organization,,Foster City,San Mateo,Get Up & Go,Name Match; Airtable,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Peppermint Ridge,BCG0000524,Operating Assistance,300901,64AO18-00791,300000.0,300000.0,300000.0,0.0,0,Open,,,,,,Peppermint Ridge,,,Non-Profit Organization,,Corona,Riverside,Peppermint Ridge,Name Match; Airtable,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Riverside Transit Agency,BCG0000508,Mobility Management,117L00,64AM18-00707,326782.0,326782.0,326782.0,0.0,0,Open,,,,90031,269.0,Riverside Transit Agency,,RTA,Independent Public Agency or Authority of Transit Service,Full Reporter,Riverside,Riverside,"Riverside Transit,Riverside Transit Dial-A-Ride",Name Match; NTD,0,0,1,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,San Benito County Local Transportation Authority,BCG0000638,2021 Operating Assistance for JDA,300901,64AO18-00688,326400.0,326400.0,134113.37,192286.63,0,Open,,,,9R02-91009,274.0,San Benito County Local Transportation Authority,,SBCLTA,Independent Public Agency or Authority of Transit Service,Rural Reporter,Hollister,San Benito,"County Express On-Demand,County Express,County Express Dial-A Ride",Name Match; Airtable,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,San Mateo County Transit District,BCG0000877,Taxi Voucher/Subsidy Program,300901,64AO18-00792,-302658.48,12341.52,12341.52,-315000.0,0,Open,,,,90009,290.0,San Mateo County Transit District,SamTrans,,Independent Public Agency or Authority of Transit Service,Full Reporter,San Carlos,San Mateo,"SamTrans,Redi-Wheels,RediCoast,Bayshore Brisbane Senior Shuttle,SamTrans Shuttles,SamCoast,FLX Pacifica",Name Match; NTD,0,0,0,0,0,0,0,1,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,San Mateo County Transit District,BCG0000877,Taxi Voucher/Subsidy Program,300901,64AO18-00792,315000.0,12341.52,12341.52,302658.48,0,Open,,,,90009,290.0,San Mateo County Transit District,SamTrans,,Independent Public Agency or Authority of Transit Service,Full Reporter,San Carlos,San Mateo,"SamTrans,Redi-Wheels,RediCoast,Bayshore Brisbane Senior Shuttle,SamTrans Shuttles,SamCoast,FLX Pacifica",Name Match; NTD,0,0,0,0,0,0,0,1,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Santa Clara Valley Transportation Authority,BCG0000369,Mobility Management,117L00,64AM18-00763,-1167620.0,0.0,0.0,-1167620.0,0,Open,,,,90013,294.0,Santa Clara Valley Transportation Authority,,VTA,Independent Public Agency or Authority of Transit Service,Full Reporter,San Jose,Santa Clara,"VTA Light Rail,VTA Rapid Bus,VTA Express Bus,VTA Bus,VTA ACE Shuttles,Valley Medical Center Shuttle,VTA ACCESS,VTA School Tripper",Name Match; NTD,0,0,1,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Santa Clara Valley Transportation Authority,BCG0000369,Mobility Management,117L00,64AM18-00763,1167620.0,0.0,0.0,1167620.0,0,Open,,,,90013,294.0,Santa Clara Valley Transportation Authority,,VTA,Independent Public Agency or Authority of Transit Service,Full Reporter,San Jose,Santa Clara,"VTA Light Rail,VTA Rapid Bus,VTA Express Bus,VTA Bus,VTA ACE Shuttles,Valley Medical Center Shuttle,VTA ACCESS,VTA School Tripper",Name Match; NTD,0,0,1,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Seniors Council of Santa Cruz and San Benito Counties,BCG0000763,Operating Assistance,300901,64AO18-00689,260098.0,260098.0,260098.0,0.0,0,Open,,,,,,,,,Non-Profit Organization,,Aptos,"Santa Cruz, San Benito, Santa Clara, Monterey",,No Match,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Shores of Hope ,BCG0000666,Operating Assistance,300901,64AO18-00793,252238.0,252238.0,252236.96,1.04,0,Open,,,,,458.0,Shores of Hope,,,Non-Profit Organization,,West Sacramento,Sacramento,Shores of Hope Transportation Services,"Manual Match, Airtable",0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Sunline Transit Agency,BCG0000996,Operating Assistance,300901,64AO18-00795,135000.0,135000.0,119455.08,15544.92,0,Open,,,,90079,327.0,SunLine Transit Agency,,,Independent Public Agency or Authority of Transit Service,Full Reporter,Thousand Palms,Riverside,"SunLine Transit,SunLine School Tripper,SunDial Paratransit,SunLine 10 Commuter Link,SunRide,Palm Springs Buzz","Manual Match, NTD",0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Tahoe Transportation District,BCG0000832,Operating Assistance,300901,64AO18-00638,80000.0,80000.0,80000.0,0.0,0,Open,,,,91092,331.0,Tahoe Transportation District,,TTD,Independent Public Agency or Authority of Transit Service,Full Reporter,Zephyr Cove,"Douglas, Placer, Washoe, Carson City","Tahoe Truckee Area Regional Transportation,Tahoe Transportation Paratransit",Name Match; Airtable,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Town of Truckee,BCG0000797,Operating Assistance,300901,64AO18-00691,702506.0,702506.0,702506.0,0.0,0,Open,,,,9R02-91101,340.0,Town of Truckee,,TOT,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,Truckee,Nevada,"TART Connect,Truckee TART Dial A Ride,Placer TART Paratransit",Name Match; NTD,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Valley Resource Center,BCG0000647,Operating Assistance,300901,64AO18-00796,50328.0,50328.0,50328.0,0.0,0,Open,,,,,,,,,Other,,Perris,Riverside,,No Match,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Victor Valley Community Services Council,BCG0000490,Operating Assistance,300901,64AO18-00797,154272.0,154272.0,154271.8,0.2,0,Open,,,,,468.0,Victor Valley Community Services Council,,,Non-Profit Organization,,Victorville,San Bernardino,Victor Valley Community Transportation,Name Match; Airtable,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Vivalon Inc,BCG0000633,Operating Assistance,300901,64AO18-00786,294960.0,294960.0,294960.0,0.0,0,Open,,,,,,Vivalon Inc,,,Non-Profit Organization,,San Rafael,Marin,Golden Gate Transit Paratransit,Name Match; Airtable,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Wilshire Community Services,BCG0000345,Operating Assistance,300901,64AO18-00692,60000.0,60000.0,59999.2,0.8,0,Open,,,,,,,,,Non-Profit Organization,,San Luis Obispo,San Luis Obispo,,No Match,0,1,0,0,0,0,0,0,1
