agency,stop_id,stop_name,route_type,date,shn_route,shn_route_type,x,y
Alameda-Contra Costa Transit District,50702,E 14th St & 150th Av,3,8/14/2024,185,State,-122.12906,37.705447
Alameda-Contra Costa Transit District,50976,E 14th St & Estabrook St,3,8/14/2024,185,State,-122.147866,37.718992
Alameda-Contra Costa Transit District,50978,E 14th St & Estabrook St,3,8/14/2024,185,State,-122.148246,37.719451
Alameda-Contra Costa Transit District,51228,E 14th St & 141st Av,3,8/14/2024,185,State,-122.139188,37.71253
Alameda-Contra Costa Transit District,52366,E 14th St & 141st Av,3,8/14/2024,185,State,-122.1392,37.712841
Alameda-Contra Costa Transit District,52833,E 14th St & Castro St,3,8/14/2024,185,State,-122.15017,37.720677
Alameda-Contra Costa Transit District,54959,E 14th St & Cornwall Way,3,8/14/2024,185,State,-122.145962,37.717496
Alameda-Contra Costa Transit District,55266,E 14th St & Dolores Av,3,8/14/2024,185,State,-122.153152,37.723105
Alameda-Contra Costa Transit District,55292,E 14th St & W Juana Av,3,8/14/2024,185,State,-122.154109,37.723613
Alameda-Contra Costa Transit District,55401,E 14th St & Bayfair Dr,3,8/14/2024,185,State,-122.123442,37.701508
Alameda-Contra Costa Transit District,55426,E 14th St & San Leandro Blvd,3,8/14/2024,185,State,-122.143261,37.715484
Alameda-Contra Costa Transit District,55538,E 14th St & 150th Av,3,8/14/2024,185,State,-122.129525,37.70609
Alameda-Contra Costa Transit District,55540,E 14th St & San Leandro Blvd,3,8/14/2024,185,State,-122.142831,37.715513
Alameda-Contra Costa Transit District,55669,E 14th St & San Leandro Hospital,3,8/14/2024,185,State,-122.141672,37.714326
Alameda-Contra Costa Transit District,56226,E 14th St & Joaquin Av,3,8/14/2024,185,State,-122.154681,37.724218
Alameda-Contra Costa Transit District,56533,E 14th St & Parrott St,3,8/14/2024,185,State,-122.152545,37.722488
Alameda-Contra Costa Transit District,56554,E 14th St & 143rd Av,3,8/14/2024,185,State,-122.137859,37.711914
Alameda-Contra Costa Transit District,56632,E 14th St & 148th Av,3,8/14/2024,185,State,-122.133813,37.708786
Alameda-Contra Costa Transit District,56767,E 14th St & Bayfair Dr,3,8/14/2024,185,State,-122.123931,37.702164
Alameda-Contra Costa Transit District,57117,E 14th St & 144th Av,3,8/14/2024,185,State,-122.136455,37.71062
Alameda-Contra Costa Transit District,57171,E 14th St & 145th Av,3,8/14/2024,185,State,-122.135808,37.710476
Alameda-Contra Costa Transit District,58255,E 14th St & Blossom Way,3,8/14/2024,185,State,-122.14634,37.718035
Alameda-Contra Costa Transit District,59449,E 14th St & 148th Av,3,8/14/2024,185,State,-122.13287,37.708431
Alameda-Contra Costa Transit District,59589,E 14th St & Fairmont Dr,3,8/14/2024,185,State,-122.126401,37.703598
Alameda-Contra Costa Transit District,59966,E 14th St & W Estudillo Av,3,8/14/2024,185,State,-122.156367,37.72521
Alameda-Contra Costa Transit District,52414,San Leandro Civic Center NB,3,8/14/2024,185,State,-122.158336,37.728129
Alameda-Contra Costa Transit District,52415,San Leandro Civic Center SB,3,8/14/2024,185,State,-122.158803,37.728445
Alameda-Contra Costa Transit District,52426,Georgia Way NB,3,8/14/2024,185,State,-122.160859,37.731513
Alameda-Contra Costa Transit District,52427,Georgia Way SB,3,8/14/2024,185,State,-122.161485,37.732028
Alameda-Contra Costa Transit District,52428,Durant Avenue,3,8/14/2024,185,State,-122.164048,37.735712
Alameda-Contra Costa Transit District,52429,Durant Avenue,3,8/14/2024,185,State,-122.164005,37.735617
Alameda-Contra Costa Transit District,52435,103rd Avenue,3,8/14/2024,185,State,-122.167784,37.740733
Alameda-Contra Costa Transit District,52437,103rd Avenue,3,8/14/2024,185,State,-122.167757,37.740639
Alameda-Contra Costa Transit District,52462,98th Avenue,3,8/14/2024,185,State,-122.169821,37.743437
Alameda-Contra Costa Transit District,52464,98th Avenue,3,8/14/2024,185,State,-122.169794,37.743343
Alameda-Contra Costa Transit District,52467,95th Avenue,3,8/14/2024,185,State,-122.17176,37.746072
Alameda-Contra Costa Transit District,52472,95th Avenue,3,8/14/2024,185,State,-122.171732,37.745979
Alameda-Contra Costa Transit District,52474,90th Avenue,3,8/14/2024,185,State,-122.174228,37.749397
Alameda-Contra Costa Transit District,52475,90th Avenue,3,8/14/2024,185,State,-122.174198,37.749303
Alameda-Contra Costa Transit District,52476,86th Avenue,3,8/14/2024,185,State,-122.176414,37.752353
Alameda-Contra Costa Transit District,52478,86th Avenue,3,8/14/2024,185,State,-122.176386,37.752258
Alameda-Contra Costa Transit District,52482,82nd Avenue,3,8/14/2024,185,State,-122.179821,37.755763
Alameda-Contra Costa Transit District,52484,82nd Avenue,3,8/14/2024,185,State,-122.179737,37.755697
Alameda-Contra Costa Transit District,52485,77th Avenue,3,8/14/2024,185,State,-122.184737,37.758101
Alameda-Contra Costa Transit District,52487,77th Avenue,3,8/14/2024,185,State,-122.18465,37.758032
Alameda-Contra Costa Transit District,52489,73rd Avenue,3,8/14/2024,185,State,-122.188523,37.7599
Alameda-Contra Costa Transit District,52492,73rd Avenue,3,8/14/2024,185,State,-122.18838,37.759805
Alameda-Contra Costa Transit District,52494,67th Avenue,3,8/14/2024,185,State,-122.191592,37.76137
Alameda-Contra Costa Transit District,52495,67th Avenue,3,8/14/2024,185,State,-122.191508,37.761301
Alameda-Contra Costa Transit District,52498,63rd Avenue,3,8/14/2024,185,State,-122.196132,37.763503
Alameda-Contra Costa Transit District,52503,63rd Avenue,3,8/14/2024,185,State,-122.196046,37.763436
Alameda-Contra Costa Transit District,52504,Seminary,3,8/14/2024,185,State,-122.200637,37.765657
Alameda-Contra Costa Transit District,52506,Seminary,3,8/14/2024,185,State,-122.200553,37.76559
Alameda-Contra Costa Transit District,52507,48th Avenue,3,8/14/2024,185,State,-122.209132,37.769644
Alameda-Contra Costa Transit District,52508,48th Avenue,3,8/14/2024,185,State,-122.209049,37.769574
Alameda-Contra Costa Transit District,52509,High Street,3,8/14/2024,185,State,-122.213326,37.771643
Alameda-Contra Costa Transit District,52513,High Street,3,8/14/2024,185,State,-122.213176,37.771538
Alameda-Contra Costa Transit District,52606,54th Avenue,3,8/14/2024,185,State,-122.205828,37.768075
Alameda-Contra Costa Transit District,52615,54th Avenue,3,8/14/2024,185,State,-122.205743,37.768014
Alameda-Contra Costa Transit District,51872,International Blvd & 105th Av,3,8/14/2024,185,State,-122.166963,37.739333
Alameda-Contra Costa Transit District,55545,International Blvd & 104th Av,3,8/14/2024,185,State,-122.167232,37.740232
Alameda-Contra Costa Transit District,55866,Seminary Av & International Blvd,3,8/14/2024,185,State,-122.199622,37.764991
Alameda-Contra Costa Transit District,56115,Seminary Av & International Blvd,3,8/14/2024,185,State,-122.199429,37.765271
Alameda-Contra Costa Transit District,55302,81st Av & International Blvd,3,8/14/2024,185,State,-122.18073,37.755998
Alameda-Contra Costa Transit District,59050,82nd Av & International Blvd,3,8/14/2024,185,State,-122.179444,37.755761
Alameda-Contra Costa Transit District,53375,90th Av & International Blvd,3,8/14/2024,185,State,-122.174227,37.749768
Alameda-Contra Costa Transit District,52866,E 14th St & Sybil Av,3,8/14/2024,185,State,-122.149883,37.720667
Alameda-Contra Costa Transit District,51861,International Blvd & 87th Av,3,8/14/2024,185,State,-122.175953,37.751467
Alameda-Contra Costa Transit District,51894,International Blvd & Auseon Av,3,8/14/2024,185,State,-122.176132,37.75222
Alameda-Contra Costa Transit District,51234,High St & International Blvd,3,8/14/2024,185,State,-122.21451,37.772537
Alameda-Contra Costa Transit District,56999,73rd Av & International Blvd,3,8/14/2024,185,State,-122.186627,37.759365
Alameda-Contra Costa Transit District,51879,Davis St & Clarke St,3,8/14/2024,112,State,-122.158908,37.725047
Alameda-Contra Costa Transit District,52404,Downtown San Leandro NB,3,8/14/2024,112,State,-122.157569,37.725382
Alameda-Contra Costa Transit District,52405,Downtown San Leandro SB,3,8/14/2024,112,State,-122.157925,37.72544
Alameda-Contra Costa Transit District,50360,Davis St & Alvarado St,3,8/14/2024,112,State,-122.164146,37.722925
Alameda-Contra Costa Transit District,50390,Davis St & Orchard Av,3,8/14/2024,112,State,-122.16583,37.722372
Alameda-Contra Costa Transit District,50425,Westgate Pkwy & Davis St,3,8/14/2024,112,State,-122.179304,37.718168
Alameda-Contra Costa Transit District,50620,Davis St & Preda St,3,8/14/2024,112,State,-122.168461,37.721732
Alameda-Contra Costa Transit District,52126,Davis St & Frederick Rd,3,8/14/2024,112,State,-122.172958,37.720525
Alameda-Contra Costa Transit District,55419,Davis St & Douglas Dr,3,8/14/2024,112,State,-122.170361,37.721259
Alameda-Contra Costa Transit District,55713,Davis St & Pierce Av (Douglas Dr),3,8/14/2024,112,State,-122.170134,37.721052
Alameda-Contra Costa Transit District,57254,Davis St & Alvarado St,3,8/14/2024,112,State,-122.163187,37.723019
Alameda-Contra Costa Transit District,58447,Davis St & Orchard Av,3,8/14/2024,112,State,-122.165425,37.722213
Alameda-Contra Costa Transit District,59210,Davis St & Wayne Av,3,8/14/2024,112,State,-122.167715,37.721651
Alameda-Contra Costa Transit District,54774,Grand Av & MacArthur Blvd,3,8/14/2024,580,Interstate,-122.248922,37.810288
Alameda-Contra Costa Transit District,59350,164th Av & Foothill Blvd,3,8/14/2024,580,Interstate,-122.108511,37.699618
Alameda-Contra Costa Transit District,56775,MacArthur Blvd & Estudillo Av,3,8/14/2024,580,Interstate,-122.138902,37.730073
Alameda-Contra Costa Transit District,50547,Adeline St & 35th St,3,8/14/2024,580,Interstate,-122.2798,37.826863
Alameda-Contra Costa Transit District,50548,Adeline St & 35th St,3,8/14/2024,580,Interstate,-122.280066,37.827034
