key,year,ntd_id,number_of_state_counties,tam_tier,personal_vehicles,density,uza_name,tribal_area_name,service_area_sq_miles,total_voms,city,fta_recipient_id,region,state_admin_funds_expended,zip_code_ext,zip_code,ueid,address_line_2,number_of_counties_with_service,reporter_acronym,original_due_date,sq_miles,address_line_1,p_o__box,fy_end_date,reported_by_ntd_id,population,reporting_module,service_area_pop,subrecipient_type,state,volunteer_drivers,primary_uza,doing_business_as,reporter_type,legacy_ntd_id,voms_do,url,reported_by_name,voms_pt,organization_type,agency_name,_valid_from,_valid_to,_is_current
fa73011e68d5477282d9bc66d0972f78,2021,3R06-30184,,Tier II,,,,,,8.0,Blackstone,1459.0,3.0,,,23824.0,,,,,1643587200000,,101 Babs Lane,,1632960000000,3R06,,Rural,,Rural General Public Transit,VA,,,,Rural Reporter,3R06-016,8.0,http://www.blackstonebus.com,Virginia Department of Rail and Public Transportation,,"City, County or Local Government Unit or Department of Transportation",Blackstone Area Bus Service,2023-02-08 17:22:59.824755 UTC,2098-12-31 23:59:59.999999 UTC,true
a164686a4c851f39e1b6d1a38091b579,2021,4R04-44939,,Tier II,,,,,,2.0,Carrollton,,4.0,,1435.0,41008.0,HY44RJBJ9723,,,,1635638400000,,309 Eleventh Street,,1625011200000,4R04,,Rural,,Rural General Public Transit,KY,,,,Rural Reporter,,2.0,https://www.ccmhosp.com/carroll-county-wellness-transit/,Kentucky Transportation Cabinet,,Private-Non-Profit Corporation,Carroll County Wellness Transit,2023-02-08 17:22:59.824755 UTC,2098-12-31 23:59:59.999999 UTC,true
32893a785a3411462497259c982f90b4,2021,4R05-40955,,Tier II,,,,,,10.0,Jackson,1009.0,4.0,,2312.0,39212.0,PCTZSLAGNAE6,,,HCHRA,1643587200000,,258 Maddox Rd,,1632960000000,4R05,,Rural,,Rural General Public Transit,MS,,,,Rural Reporter,4R05-005,10.0,http://www.hchra.org/programs/rural-transport-program,Mississippi Department of Transportation,,Private-Non-Profit Corporation,Hinds County Human Resource Agency,2023-02-08 17:22:59.824755 UTC,2098-12-31 23:59:59.999999 UTC,true
73480908b1f81139a0c96a53b6451592,2021,4R06-41167,,Tier II,,,,,,8.0,Sylva,,4.0,,3250.0,28779.0,X7YWWY6ZP574,,,Jackson County Transit,1635638400000,,401 Grindstaff Cove Rd Ste 105,,1625011200000,4R06,,Rural,,Rural General Public Transit,NC,,,,Rural Reporter,4R06-023,8.0,http://www.jacksoncountytransit.com/,North Carolina Department of Transportation,,"City, County or Local Government Unit or Department of Transportation",Jackson County,2023-02-08 17:22:59.824755 UTC,2098-12-31 23:59:59.999999 UTC,true
0f04e0cf703578d028d01aecc2b8fd6e,2021,50142,,Tier II,,1404.0,"Weirton-Steubenville, WV-OH-PA",,13.0,11.0,Steubenville,5702.0,5.0,,2819.0,43952.0,L8SLLRZ77EP8,,,Steel Valley RTA,1651276800000,51.0,555 Adams St,1177,1640908800000,,70889.0,Urban,25273.0,,OH,,389.0,,Reduced Reporter,5142,11.0,http://www.svrta.com,,,Independent Public Agency or Authority of Transit Service,Steel Valley Regional Transit Authority,2023-02-08 17:22:59.824755 UTC,2098-12-31 23:59:59.999999 UTC,true
a7c159e34946bededed69b49cdfa92a0,2021,50523,,Tier II,,0.0,Michigan Non-UZA,"Sault Ste. Marie Reservation and Off-Reservation Trust Land, MI",,3.0,Sault Sainte Marie,6923.0,5.0,,1907.0,49783.0,PMNWBLLRNMM3,,,SSMTCI,1651276800000,0.0,523 Ashmun St,,1640908800000,,0.0,Tribe,,,MI,,0.0,,Reduced Reporter,,3.0,saulttribe.net,,,Tribe,Sault Ste. Marie Tribe of Chippewa Indians,2023-02-08 17:22:59.824755 UTC,2098-12-31 23:59:59.999999 UTC,true
308cd0f3b4616d34217d1be07ad2a73a,2021,5R01-50304,,Tier II,,,,,,6.0,Lewistown,,5.0,,1473.0,61542.0,WBZ4F5PFSZN4,100 North Main Street,,,1635638400000,,100 N Main St Rm 200,226,1625011200000,5R01,,Rural,,Rural General Public Transit,IL,,,,Rural Reporter,5R01-031,6.0,http://www.fultonco.org,Illinois Department of Transportation,,"City, County or Local Government Unit or Department of Transportation",Fulton County,2023-02-08 17:22:59.824755 UTC,2098-12-31 23:59:59.999999 UTC,true
3349a32f07970602771c2000e679ad90,2021,5R06-55651,,Tier II,,,,,,,Appleton,,5.0,,4721.0,54914.0,C63AKWLSMN69,,,,1635638400000,,1325 S Perkins St,,1625011200000,5R06,,Asset,,Asset Subrecipient,WI,,,,Reduced Asset Reporter,,,https://www.vpind.com/,Wisconsin Department of Transportation,,Private-Non-Profit Corporation,"Valley Packaging Industries, Inc.",2023-02-08 17:22:59.824755 UTC,2098-12-31 23:59:59.999999 UTC,true
8443d057fdea3ddc4225e5c010f4a880,2021,60062,,Tier II,,1572.0,"Fayetteville-Springdale-Rogers, AR-MO",,18.0,24.0,Fayetteville,6276.0,6.0,,4821.0,72701.0,NR38GXWJXMD3,ADSB 131,,Razorback Transit,1635638400000,188.0,155 Razorback Road Adsb 131,,1625011200000,,295083.0,Urban,93949.0,,AR,,129.0,,Reduced Reporter,6062,24.0,https://parking.uark.edu/transit-services/transit-operations/maps-and-schedules.php,,,University,"University of Arkansas, Fayetteville",2023-02-08 17:22:59.824755 UTC,2098-12-31 23:59:59.999999 UTC,true
3e2215c2c3a14be1ce09a48275bbd6d1,2021,6R01-60257,,Tier II,,,,,,27.0,Fort Smith,1561.0,6.0,,2507.0,72901.0,HN8WACXLZFL7,,,WTS,1635638400000,,524 Garrison Ave,1724,1625011200000,6R01,,Rural,,Rural General Public Transit,AR,,,Western Transit System,Rural Reporter,6R01-018,27.0,https://agingwest.org/transportation/,Arkansas Department of Transportation (ARDOT),,Area Agency on Aging,"Area Agency on Aging of Western Arkansas, Inc. (WTS)",2023-02-08 17:22:59.824755 UTC,2098-12-31 23:59:59.999999 UTC,true
3c3cdfe4099c733384e697416a9845fa,2021,6R04-60150,,Tier II,,,,,,5.0,Ada,1565.0,6.0,,6445.0,74820.0,E48ZDD9BZ5J5,,,Call-A-Ride Public Transit System       CAR,1643587200000,,100 W 13Th St Room 133,,1632960000000,6R04,,Rural,,Rural General Public Transit,OK,,,,Rural Reporter,6R04-011,5.0,http://www.okladot.state.ok.us/transit/s5311/callaride.htm,Oklahoma Department of Transportation,,"City, County or Local Government Unit or Department of Transportation",Pontotoc County Public Transit Authority,2023-02-08 17:22:59.824755 UTC,2098-12-31 23:59:59.999999 UTC,true
cc2390036740b4215010c15db591e539,2021,70014,,Tier II,,1885.0,"Topeka, KS",,58.0,35.0,Topeka,1823.0,7.0,,3622.0,66603.0,FXMAJNVNL446,,,TMTA,1635638400000,80.0,201 N Kansas Ave,,1625011200000,,150003.0,Urban,127473.0,,KS,,217.0,,Full Reporter,7014,27.0,http://www.topekametro.org/,,8.0,Independent Public Agency or Authority of Transit Service,Topeka Metropolitan Transit Authority,2023-02-08 17:22:59.824755 UTC,2098-12-31 23:59:59.999999 UTC,true
a693c060e4d4074b212abd83cfdf7ce3,2021,80018,,Tier II,,0.0,Montana Non-UZA,"Fort Peck Indian Reservation and Off-Reservation Trust Land, MT",,8.0,Wolf Point,7211.0,8.0,,1740.0,59201.0,QDBYK8MKXLD7,,,FPT,1643587200000,0.0,629 7Th Ave S,1027,1632960000000,,0.0,Tribe,,,MT,,0.0,,Reduced Reporter,8T18,8.0,http://www.fortpecktribes.org/transit.html,,,Tribe,Fort Peck Tribes ,2023-02-08 17:22:59.824755 UTC,2098-12-31 23:59:59.999999 UTC,true
1ae10ca6eda66ea3d8b7271a8ec11f34,2021,8R01-88280,,Tier II,,,,,,,Lakewood,,8.0,,3123.0,80226.0,V1L8TD75JRQ5,,,,1651276800000,,480 S Allison Pkwy,,1640908800000,8R01,,Asset,,Asset Subrecipient,CO,,,,Reduced Asset Reporter,,,http://www.lakewood.org/LakewoodRides/,Colorado Department of Transportation,,"City, County or Local Government Unit or Department of Transportation","Lakewood Rides, City of Lakewood",2023-02-08 17:22:59.824755 UTC,2098-12-31 23:59:59.999999 UTC,true
e2211d2d3b6f6ab29c7db0fbadd53b9e,2021,8R02-80142,,Tier II,,,,,,6.0,Hamilton,1144.0,8.0,,3127.0,59840.0,DHLMLQJLGGP7,,,BitterRoot Bus,1635638400000,,310 Old Corvallis Rd,,1625011200000,8R02,,Rural,,Rural General Public Transit,MT,,,,Rural Reporter,8R02-008,6.0,http://www.ravalliccoa.org,Montana Department of Transportation,,Private-Non-Profit Corporation,Ravalli County Council on Aging,2023-02-08 17:22:59.824755 UTC,2098-12-31 23:59:59.999999 UTC,true
54d7fbbfa5378c5c8507aef23622b69a,2021,8R04-80112,,Tier II,,,,,,5.0,Vermillion,1160.0,8.0,,1606.0,57069.0,E9A6KELFCDM4,,,,1643587200000,,1314 E Cherry St,,1632960000000,8R04,,Rural,,Rural General Public Transit,SD,,,Vermillion Public Transit ,Rural Reporter,8R04-018,5.0,http://www.sesdac.org,South Dakota Department of Transportation,,Private-Non-Profit Corporation,"SESDAC, Inc ",2023-02-08 17:22:59.824755 UTC,2098-12-31 23:59:59.999999 UTC,true
25298d550c447c0a97c9cf0c4ef11ace,2021,8R05-80277,,Tier II,,,,,,,Jackson,1168.0,8.0,,8569.0,83001.0,ULSCBL223CK5,,,,1643587200000,,1580 W Martin Ln.,26,1632960000000,8R05,,Rural,,Intercity Bus,WY,,,,Rural Reporter,8R05-056,,http://www.jacksonholealltrans.com/,Wyoming Department of Transportation,,Private-For-Profit Corporation,AllTrans Inc.,2023-02-08 17:22:59.824755 UTC,2098-12-31 23:59:59.999999 UTC,true
f090136f13505fdf4378403579b541db,2021,90149,,Tier II,,4816.0,"Lompoc, CA",,40.0,10.0,Lompoc,1651.0,9.0,,6916.0,93436.0,SJ6NUZNKYFH1,,,COLT,1635638400000,11.0,100 Civic Center Plz,,1625011200000,,51509.0,Urban,54379.0,,CA,,485.0,City of Lompoc - Lompoc Transit,Reduced Reporter,9149,,http://www.cityoflompoc.com/transit/,,10.0,"City, County or Local Government Unit or Department of Transportation",City of Lompoc,2023-02-08 17:22:59.824755 UTC,2098-12-31 23:59:59.999999 UTC,true
93ed30c4302de013e56116c491e59cfe,2022,10098,,Tier II,,1933.0,"Lewiston, ME",,4247.0,41.0,Auburn,1346.0,1.0,,8318.0,4210.0,KTE3F5BFUK11,,,WMTS,1675123200000,31.42,76 Merrow Rd,,1664496000000,,60743.0,Urban,188015.0,,ME,,,,Full Reporter,1098,41.0,http://www.wmtsbus.org/,,,Public Agency or Authority of Transit Service,"Western Maine Transportation Services, Inc.",2023-11-15 22:29:51.925030 UTC,2098-12-31 23:59:59.999999 UTC,true
eb953755a02bb95d5ebffff5a8887b46,2022,10167,,Tier II,0.0,,,,,2.0,Stonington,1346.0,1.0,,,4681.0,JHBEAKL2S9M1,,,,1667174400000,,Seabreeze Ave,709,1656547200000,1R03,,Rural,,Rural General Public Transit,ME,0.0,,,Rural Reporter,1R03-020,2.0,http://www.isleauhaut.com,Maine Department of Transportation,,Corporation,Isle au Haut Boat Services,2023-11-15 22:29:51.925030 UTC,2098-12-31 23:59:59.999999 UTC,true
c3e1f70ce48a0cd5b810705facf69c4d,2022,19,,Tier I (Non-Fixed Route VOMS),,1960.0,"Olympia--Lacey, WA",,101.0,240.0,Olympia,1745.0,10.0,,2076.0,98501.0,CMC8NKZ8XW63,,,I.T.,1682812800000,106.21,526 Pattison St Se,659,1672444800000,,208157.0,Urban,198000.0,,WA,,,,Full Reporter,19,240.0,http://www.intercitytransit.com/,,,Public Agency or Authority of Transit Service,Intercity Transit,2023-11-15 22:29:51.925030 UTC,2098-12-31 23:59:59.999999 UTC,true
f1f08a581dde0a123f956efa63935c43,2022,30135,,Tier II,0.0,,,,,22.0,Petersburg,1501.0,3.0,,9754.0,26847.0,MD85CAVNPHM6,,,PVTA,1667174400000,,185 Providence Ln,278,1656547200000,3R05,,Rural,,Rural General Public Transit,WV,0.0,,,Rural Reporter,3R05-018,22.0,http://www.potomacvalleytransit.org/,West Virginia Department of Transportation,,Public Agency or Authority of Transit Service,Potomac Valley Transit Authority,2023-11-15 22:29:51.925030 UTC,2098-12-31 23:59:59.999999 UTC,true
7d52faa849fa97dfa35b105d17102f7f,2022,317,,Tier II,0.0,,,,,8.0,North Bend,1724.0,10.0,,8215.0,98045.0,GDG3YC95NHK6,,,,1682812800000,,411 Main Ave S,806,1672444800000,0R03,,Rural,,Rural General Public Transit,WA,0.0,,,Rural Reporter,0R03-006,8.0,http://www.svtbus.org/,Washington State Department of Transportation,,Corporation,Mt Si Senior Center,2023-11-15 22:29:51.925030 UTC,2098-12-31 23:59:59.999999 UTC,true
94a2c02d07d6ea2f7c02e41f0c5ecffb,2022,40051,,Tier II,,2160.0,"Durham, NC",,62.0,88.0,Chapel Hill,1110.0,4.0,,5705.0,27514.0,WLCTFFK97EP7,,,,1667174400000,183.36,405 Martin Luther King Jr Blvd,,1656547200000,,396118.0,Urban,80218.0,,NC,,,Chapel Hill Transit,Full Reporter,4051,88.0,http://www.chtransit.org/,,,County or Local Government Unit or Department of Transportation,Town of Chapel Hill,2023-11-15 22:29:51.925030 UTC,2098-12-31 23:59:59.999999 UTC,true
82f94ae233887d187ef87b591ba83080,2022,40913,,Tier II,0.0,,,,,9.0,Robbinsville,1005.0,4.0,,8413.0,28771.0,W3JTGJ1KP5D7,,,Graham County Transit,1667174400000,,12 N Main St,1725,1656547200000,4R06,,Rural,,Rural General Public Transit,NC,0.0,,,Rural Reporter,4R06-015,9.0,http://www.GRAHAMCOUNTY.org,North Carolina Department of Transportation,,County or Local Government Unit or Department of Transportation,Graham County,2023-11-15 22:29:51.925030 UTC,2098-12-31 23:59:59.999999 UTC,true
144e3ced58673b1e08f1e31e1ec0dc2b,2022,40918,,Tier II,0.0,,,,,18.0,Wilkesboro,1005.0,4.0,,2753.0,28697.0,FADNJLHHA5U7,,,Wilkes Transportation Authority (WTA),1667174400000,,1010 Spring St,,1656547200000,4R06,,Rural,,Rural General Public Transit,NC,0.0,,,Rural Reporter,4R06-050,18.0,http://www.wta1.org/,North Carolina Department of Transportation,,Public Agency or Authority of Transit Service,Wilkes Transportation Authority,2023-11-15 22:29:51.925030 UTC,2098-12-31 23:59:59.999999 UTC,true
6cfee59c7be7ea8697ccc440f5838002,2022,40924,,Tier II,0.0,,,,,2.0,Warrenton,,4.0,,46.0,30828.0,,,,WCT,1667174400000,,521 Main Street,46,1656547200000,4R03,,Rural,,Rural General Public Transit,GA,0.0,,,Rural Reporter,4R03-032,2.0,https://www.warrencountyga.com/transit.html,Georgia Department of Transportation,,County or Local Government Unit or Department of Transportation,Warren County Commission Transit,2023-11-15 22:29:51.925030 UTC,2098-12-31 23:59:59.999999 UTC,true
567b3066e1a8afd8ab81325a09921bca,2022,41030,,Tier II,0.0,,,,,34.0,Mississippi State,1009.0,4.0,,,39762.0,NTXJM52SHKS7,,,SMART,1675123200000,,245 Barr Ave,6350,1664496000000,4R05,,Rural,,Rural General Public Transit,MS,0.0,,,Rural Reporter,4R05-035,34.0,http://www.msstate.edu/,Mississippi Department of Transportation,,University,SMART Starkville-MSU Area Rapid Transit,2023-11-15 22:29:51.925030 UTC,2098-12-31 23:59:59.999999 UTC,true
d80100c9ef824c438618a5432919ae06,2022,41114,,Tier II,0.0,1005.0,"Fernandina Beach--Yulee, FL",,227.0,19.0,Fernandina Beach,1001.0,4.0,,4732.0,32034.0,MMWKWNHJ1793,,,,1667174400000,50.55,1901 Island Walk Way,,1656547200000,4R02,50805.0,Rural,393807.0,Rural General Public Transit,FL,0.0,,,Rural Reporter,4R02-007,19.0,https://www.nassaucountycouncilonaging.org/,Florida Department of Transportation,,Corporation,Nassau Council on Aging,2023-11-15 22:29:51.925030 UTC,2098-12-31 23:59:59.999999 UTC,true
81977a65500cbe534091d22589a168c5,2022,458,,Tier II,,,,,,0.0,Meridian,,10.0,,,83680.0,,,,MSC,1667174400000,,,563,1656547200000,0R01,,Asset,,Asset Subrecipient,ID,,,,Reduced Asset Reporter,,,http://www.meridianseniorscenter.com/,Idaho Transportation Department,,Corporation,Meridian Senior Center,2023-11-15 22:29:51.925030 UTC,2098-12-31 23:59:59.999999 UTC,true
c5dd9a6317369aff74a047767afcab24,2022,50146,,Tier II,,2369.0,"St. Louis, MO--IL",,189.0,117.0,Pontoon Beach,5622.0,5.0,,2868.0,62040.0,LJVRSYSB1FM7,,,MCT,1667174400000,910.37,1 Transit Way,,1656547200000,,2156323.0,Urban,232298.0,,IL,,,,Full Reporter,5146,30.0,http://www.mct.org/,,87.0,Public Agency or Authority of Transit Service,Madison County Transit District,2023-11-15 22:29:51.925030 UTC,2098-12-31 23:59:59.999999 UTC,true
fbfba3e538735d7a422cc080b311d945,2022,50161,,Tier II,,2818.0,"Milwaukee, WI",,235.0,31.0,Port Washington,6155.0,5.0,,1813.0,53074.0,GW2QBT46RKR1,,,OCTS,1682812800000,463.68,121 W Main St,994,1672444800000,,1306795.0,Urban,91503.0,,WI,,,Ozaukee County Transit Services ,Full Reporter,5161,,http://www.ozaukeetransit.com/,,31.0,County or Local Government Unit or Department of Transportation,Ozaukee County ,2023-11-15 22:29:51.925030 UTC,2098-12-31 23:59:59.999999 UTC,true
51057c0cb82672b5f5c59afd1e9217ef,2022,50230,,Tier II,0.0,,,,,12.0,Lebanon,1189.0,5.0,,2126.0,46052.0,FF3NXS3R7825,,,BATS,1682812800000,,201 Courthouse Sq,,1672444800000,5R02,,Rural,,Rural General Public Transit,IN,0.0,,Boone Area Transit System,Rural Reporter,5R02-011,12.0,http://www.booneseniors.org,Indiana Department of Transportation,,Corporation,Boone County Senior Services,2023-11-15 22:29:51.925030 UTC,2098-12-31 23:59:59.999999 UTC,true
e21cab6f7963ddc5ddf5df7858f8a9de,2022,50235,,Tier II,0.0,,,,,9.0,Monroe,1245.0,5.0,,1850.0,53566.0,CDNELJHMN1Y1,,,,1667174400000,,1110 18Th Ave,,1656547200000,5R06,,Rural,,Rural General Public Transit,WI,0.0,,,Rural Reporter,5R06-027,,http://www.cityofmonroe.org,Wisconsin Department of Transportation,9.0,County or Local Government Unit or Department of Transportation,City of Monroe,2023-11-15 22:29:51.925030 UTC,2098-12-31 23:59:59.999999 UTC,true
4e91b967ea275a6f3bd9d748e0755299,2022,50289,,Tier II,0.0,,,,,9.0,Warsaw,1189.0,5.0,,2873.0,46580.0,YZXAAA8REA77,,,KABS,1682812800000,,100 W Center St,,1672444800000,5R02,,Rural,,Rural General Public Transit,IN,0.0,,Kosciusko Area Bus Service ,Rural Reporter,5R02-016,9.0,http://www.cardinalservices.org/Services,Indiana Department of Transportation,,Corporation,Cardinal Services ,2023-11-15 22:29:51.925030 UTC,2098-12-31 23:59:59.999999 UTC,true
952301b09b5333fa8bdc186cff2db232,2022,50344,,Tier II,0.0,,,,,12.0,West Branch,1207.0,5.0,,1215.0,48661.0,MNLAK4J2NDP9,RM #103,,,1675123200000,,806 W Houghton Ave,,1664496000000,5R03,,Rural,,Rural General Public Transit,MI,0.0,,,Rural Reporter,5R03-056,12.0,http://www.ogemawcountymi.gov/transit/,Michigan Department of Transportation,,County or Local Government Unit or Department of Transportation,Ogemaw County Public Transportation,2023-11-15 22:29:51.925030 UTC,2098-12-31 23:59:59.999999 UTC,true
714ddb14911f2b6eb2113047ba75e03d,2022,55467,,Tier II,,,,,,0.0,Canal Winchester,,5.0,,1230.0,43110.0,M95AN33UCUU6,,,,1682812800000,,22 Trine St,,1672444800000,5R05,,Asset,,Asset Subrecipient,OH,,,,Reduced Asset Reporter,,,https://www.facebook.com/cwhumanservices/,Ohio Department of Transportation,,Corporation,Canal Winchester Human Services,2023-11-15 22:29:51.925030 UTC,2098-12-31 23:59:59.999999 UTC,true
3efe191db833ddc80aba02d4d000d1fa,2022,55610,,Tier II,,,,,,0.0,Waterford,,5.0,,,48327.0,,,,,1667174400000,,5195 Pontiac Lake Rd.,,1656547200000,A0011,,Asset,,Asset Subrecipient,MI,,,,Reduced Asset Reporter,,,www.newgateways.com,Suburban Mobility Authority for Regional Transportation,,Corporation,New Gateways ,2023-11-15 22:29:51.925030 UTC,2098-12-31 23:59:59.999999 UTC,true
ff2e48dac1ff8516331d117ba7b7152f,2022,60101,,Tier I (Rail),,2854.0,"Denton--Lewisville, TX",,155.0,183.0,Lewisville,6464.0,6.0,,6440.0,75057.0,S3G7J1ZR7642,STE 260,,DCTA,44957,150.48,1955 Lakeway Dr,,1664496000000,,429461.0,Urban,593632.0,,TX,,,,Full Reporter,6101,38.0,http://www.dcta.net/,,145.0,Public Agency or Authority of Transit Service,Denton County Transportation Authority,2023-11-15 22:29:51.925030 UTC,2098-12-31 23:59:59.999999 UTC,true
093f4b00449a07cd7b7af251a44a19b8,2022,70146,,Tier II,0.0,,,,,4.0,Minneapolis,1813.0,7.0,,1621.0,67467.0,GRMJW6ZMJ4K9,,,,1667174400000,,817A Argyle Ave,,1656547200000,7R02,,Rural,,Rural General Public Transit,KS,0.0,,,Rural Reporter,7R02-031,4.0,http://octapublictransit.org/,Kansas Department of Transportation,,County or Local Government Unit or Department of Transportation,Ottawa County Transportation,2023-11-15 22:29:51.925030 UTC,2098-12-31 23:59:59.999999 UTC,true
66a51c923fe92c275ec2da4638b9222f,2022,70177,,Tier II,0.0,,,,,2.0,El Dorado Springs,1814.0,7.0,,1199.0,64744.0,KP8RK2H7QDL4,,,,1667174400000,,135 W Spring St,,1656547200000,7R03,,Rural,,Rural General Public Transit,MO,0.0,,,Rural Reporter,7R03-013,2.0,http://www.eldoradotransit.com/riderguide.html,Missouri Department of Transportation,,County or Local Government Unit or Department of Transportation,City of El Dorado Springs,2023-11-15 22:29:51.925030 UTC,2098-12-31 23:59:59.999999 UTC,true
