grant_fiscal_year,funding_program,grant_number,project_year,organization_name,upin,description,ali,contract_number,allocationamount,encumbered_amount,expendedamount,activebalance,closedoutbalance,project_status,agency,city,state,legacy_ntd_id,ntd_id,organization_type,reporter_type,primary_uza_population,agency_voms,years_old:,_13_15,_16_20,_21_25,_26_30,_31_60,_60+,total_vehicles,average_age_of_fleet__in_years_,average_lifetime_miles_per_vehicle,_0_9,_10_12,vehicle_groups,name,itp_id,gtfs_schedule_status,number_services_w_complete_rt_status,#_fixed_route_services_w__static_gtfs,complete_static_gtfs_coverage_1_means_yes,complete_rt_coverage,gt_1_gtfs_for_any_service_1_means_yes,gt_1_complete_rt_set_1_means_yes
2016.0,Section 5311,CA-2017-025 | 0017000158,2016.0,City of Guadalupe,BCG0000098,Operating Assistance ,300902,64BO17-00375,58067.0,58067.0,58067.0,0.0,0.0,Open,City of Guadalupe,Guadalupe,CA,9R02-042,9R02-91043,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,Vans,City of Guadalupe,129.0,"ok,needed",0.0,1.0,1.0,0.0,1.0,0.0
2016.0,Section 5311,CA-2017-025 | 0017000158,2016.0,City of McFarland,BCG0000210,Operating Assistance ,300902,64BO17-00376,43401.0,43401.0,43401.0,0.0,0.0,Open,City of McFarland,Mc Farland,CA,9R02-024,9R02-91110,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,Vans,City of McFarland,197.0,needed,0.0,0.0,1.0,1.0,0.0,0.0
2016.0,Section 5311,CA-2017-025 | 0017000158,2016.0,City of Needles,BCG0000184,Operating Assistance ,300902,64BO17-00377,40237.0,40237.0,40237.0,0.0,0.0,Open,"City of Needles, dba: Needles Area Transit",Needles,CA,9R02-063,9R02-91020,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,3.0,0.0,Vans,City of Needles,220.0,"ok,needed",0.0,0.0,1.0,1.0,0.0,0.0
2016.0,Section 5311,CA-2017-025 | 0017000158,2016.0,City of Ojai,BCG0000120,Operating Assistance,300902,64BO17-00379,376844.0,376844.0,376844.0,0.0,0.0,Open,City of Ojai,Ojai,CA,9R02-004,9R02-91058,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,0.0,Vans,City of Ojai,231.0,ok,1.0,1.0,1.0,1.0,1.0,1.0
2016.0,Section 5311,CA-2017-025 | 0017000158,2016.0,City of Porterville,BCG0000143,Operating Assistance,300902,64BO17-00380,162670.0,274000.0,151465.86,11204.14,0.0,Open,City of Porterville,Porterville,CA,9198,90198,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,70272.0,13.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,2.0,Vans,,,,,,,,,
2016.0,Section 5311,CA-2017-025 | 0017000158,2016.0,City of Ridgecrest,BCG0000144,Operating Assistance ,300902,64BO17-00381,87869.0,87869.0,87869.0,0.0,0.0,Open,"City of Ridgecrest, dba: Ridgerunner",Ridgecrest,CA,9R02-051,9R02-91006,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0.0,5.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,Vans,,,,,,,,,
2016.0,Section 5311,CA-2017-025 | 0017000158,2016.0,City of Rio Vista,BCG0000091,Operating Assistance,300902,64BO17-00382,105000.0,105000.0,105000.0,0.0,0.0,Open,"City of Rio Vista, dba: Rio Vista Delta Breeze",Rio Vista,CA,9R02-032,9R02-91014,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,1.0,0.0,Vans,City of Rio Vista,264.0,ok,0.0,0.0,1.0,1.0,0.0,0.0
2016.0,Section 5311,CA-2017-025 | 0017000158,2016.0,City of Solvang,BCG0000152,Operating Assistance,300902,64BO17-00384,189028.0,189028.0,189028.0,0.0,0.0,Open,City of Solvang,Solvang,CA,9R02-039,9R02-91028,Independent Public Agency or Authority of Transit Service,Rural Reporter,0.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.6,0.0,10.0,0.0,Vans,City of Solvang,312.0,"ok,needed",0.0,1.0,1.0,0.0,1.0,0.0
2016.0,Section 5311,CA-2017-025 | 0017000158,2016.0,City of Taft,BCG0000257,Operating Assistance ,300902,64BO17-00385,29237.0,29237.0,29237.0,0.0,0.0,Open,"City of Taft, dba: Taft Area Transit",Taft,CA,9R02-010,9R02-91066,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,2.0,Vans,City of Taft,330.0,"need long-term solution,needed",0.0,1.0,1.0,0.0,1.0,0.0
2016.0,Section 5311,CA-2017-025 | 0017000158,2016.0,City of Wasco,BCG0000227,Operating Assistance ,300902,64BO17-00387,80792.0,80792.0,78370.83,2421.17,0.0,Open,"Wasco, City of",Wasco,CA,9R02-028,9R02-99426,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0,0.0,Vans,,,,,,,,,
2016.0,Section 5311,CA-2017-025 | 0017000158,2016.0,City of Woodlake,BCG0000238,Operating Assistance ,300902,64BO17-00388,86122.0,87000.0,68764.05,17357.95,0.0,Open,City of Woodlake,Woodlake,CA,9R02-033,9R02-91079,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0.0,3.0,,1.0,1.0,0.0,0.0,0.0,0.0,3.0,13.33333333,0.0,1.0,0.0,Vans,City of Woodlake,371.0,needed,0.0,0.0,1.0,1.0,0.0,0.0
2016.0,Section 5311,CA-2017-025 | 0017000158,2016.0,Colusa County Transit Agency,BCG0000133,Operating Assistance,300902,64BO17-00389,114413.0,114413.0,114413.0,0.0,0.0,Open,Colusa County Transit Agency,Colusa,CA,9R02-034,9R02-91112,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0.0,6.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,Vans,Colusa County Transit Agency,74.0,needed,0.0,0.0,1.0,1.0,0.0,0.0
2016.0,Section 5311,CA-2017-025 | 0017000158,2016.0,County of Shasta Department of Public Works,BCG0000092,Operating Assistance ,300902,64BO17-00394,138255.0,249872.0,138255.0,0.0,0.0,Open,County of Shasta Department of Public Works,Redding,CA,,9R02-99438,"City, County or Local Government Unit or Department of Transportation",Asset Subrecipient,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,Vans,Shasta County,,ok,1.0,0.0,1.0,0.0,0.0,1.0
2016.0,Section 5311,CA-2017-025 | 0017000158,2016.0,County of Siskiyou,BCG0000119,Operating Assistance ,300902,64BO17-00395,239841.0,239841.0,239841.0,0.0,0.0,Open,"County of Siskiyou, dba: Siskiyou County Transit",Yreka,CA,9R02-017,9R02-91048,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0.0,9.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0,0.0,Vans,Siskiyou County,83.0,ok,0.0,1.0,1.0,0.0,1.0,0.0
2016.0,Section 5311,CA-2017-025 | 0017000158,2016.0,Eastern Sierra Transit Authority,BCG0000088,Operating Assistance Inyo,300902,64BO17-00397,99066.0,99066.0,99066.0,0.0,0.0,Open,Eastern Sierra Transit Authority,Bishop,CA,9R02-098,9R02-91062,Independent Public Agency or Authority of Transit Service,Rural Reporter,0.0,44.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,4.0,0.0,Vans,Eastern Sierra Transit Authority,99.0,"ok,needed,ok,ok,ok,needed,needed,needed,needed",5.0,5.0,1.0,1.0,1.0,1.0
2016.0,Section 5311,CA-2017-025 | 0017000158,2016.0,Eastern Sierra Transit Authority,BCG0000102,Operating Assistance Mono,300902,64BO17-00478,75862.0,75862.0,75862.0,0.0,0.0,Open,Eastern Sierra Transit Authority,Bishop,CA,9R02-098,9R02-91062,Independent Public Agency or Authority of Transit Service,Rural Reporter,0.0,44.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,4.0,0.0,Vans,Eastern Sierra Transit Authority,99.0,"ok,needed,ok,ok,ok,needed,needed,needed,needed",5.0,5.0,1.0,1.0,1.0,1.0
2016.0,Section 5311,CA-2017-025 | 0017000158,2016.0,El Dorado County Transit Authority,BCG0000122,Operating Assistance ,300902,64BO17-00398,474917.0,474917.0,474917.0,0.0,0.0,Open,El Dorado County Transit Authority,Diamond Springs,CA,9229,90229,Independent Public Agency or Authority of Transit Service,Reduced Reporter,1723634.0,29.0,,3.0,0.0,0.0,0.0,0.0,0.0,3.0,,,0.0,0.0,Vans,,,,,,,,,
2016.0,Section 5311,CA-2017-025 | 0017000158,2016.0,Eureka Transit Service,BCG0000207,Operating Assistance ,300902,64BO17-00373,125000.0,125000.0,125000.0,0.0,0.0,Open,"City of Eureka, dba: Eureka Transit Service",Eureka,CA,9R02-068,9R02-91093,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0.0,9.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,12.0,0.0,Vans,City of Eureka,108.0,ok,1.0,1.0,1.0,1.0,1.0,1.0
2016.0,Section 5311,CA-2017-025 | 0017000158,2016.0,Fresno County Rural Transit Agency,BCG0000267,Operating Assistance,300902,64BO17-00399,1473348.0,1552366.0,1473348.0,0.0,0.0,Open,Fresno County Rural Transit Agency,Fresno,CA,9R02-025,9R02-91007,Independent Public Agency or Authority of Transit Service,Rural Reporter,0.0,77.0,,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.555555556,0.0,18.0,0.0,Vans,Fresno County Rural Transit Agency,117.0,"needed,needed,ok,ok,needed,ok,ok,needed,needed,needed,needed,needed,ok,ok,ok,needed,ok,needed,needed,needed,needed,needed",0.0,4.0,0.0,0.0,1.0,0.0
2016.0,Section 5311,CA-2017-025 | 0017000158,2016.0,Humboldt Transit Authority,BCG0000110,Purchase Replacement Std 40 Ft Bus ,111201,64BC17-00401,278761.0,278761.0,0.0,278761.0,0.0,Open,Humboldt Transit Authority,Eureka,CA,9R02-016,9R02-91036,Independent Public Agency or Authority of Transit Service,Rural Reporter,0.0,14.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,0.0,Vans,Humboldt Transit Authority,135.0,"needed,ok,ok,ok",3.0,3.0,1.0,1.0,1.0,1.0
2016.0,Section 5311,CA-2017-025 | 0017000158,2016.0,Humboldt Transit Authority,BCG0000111,Buy <30-Ft Bus For Expansion ,111304,64BC17-00401,200000.0,200000.0,200000.0,0.0,0.0,Open,Humboldt Transit Authority,Eureka,CA,9R02-016,9R02-91036,Independent Public Agency or Authority of Transit Service,Rural Reporter,0.0,14.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,0.0,Vans,Humboldt Transit Authority,135.0,"needed,ok,ok,ok",3.0,3.0,1.0,1.0,1.0,1.0
2016.0,Section 5311,CA-2017-025 | 0017000158,2016.0,Imperial County Transportation Commission,BCG0000183,Operating Assistance ,300902,64BO17-00402,64841.0,64841.0,64841.0,0.0,0.0,Open,Imperial County Transportation Commission,El Centro,CA,9226,90226,Independent Public Agency or Authority of Transit Service,Full Reporter,107672.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1256.0,1.0,0.0,Vans,,,,,,,,,
2016.0,Section 5311,CA-2017-025 | 0017000158,2016.0,Imperial County Transportation Commission,BCG0000185,Operating Assistance ,300902,64BO17-00402,32293.0,32293.0,32293.0,0.0,0.0,Open,Imperial County Transportation Commission,El Centro,CA,9226,90226,Independent Public Agency or Authority of Transit Service,Full Reporter,107672.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1256.0,1.0,0.0,Vans,,,,,,,,,
2016.0,Section 5311,CA-2017-025 | 0017000158,2016.0,Imperial County Transportation Commission,BCG0000186,Operating Assistance ,300902,64BO17-00402,164302.0,164302.0,164302.0,0.0,0.0,Open,Imperial County Transportation Commission,El Centro,CA,9226,90226,Independent Public Agency or Authority of Transit Service,Full Reporter,107672.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1256.0,1.0,0.0,Vans,,,,,,,,,
2016.0,Section 5311,CA-2017-025 | 0017000158,2016.0,Kern Regional Transit,BCG0000169,Operating Assistance,300902,64BO17-00403,955554.0,955554.0,955554.0,0.0,0.0,Open,Kern Regional Transit,Bakersfield,CA,9R02-037,9R02-91059,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0.0,40.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,2.0,Vans,Kern County,146.0,"ok,needed,needed,needed,needed,needed,needed,needed,needed",0.0,1.0,1.0,0.0,1.0,0.0
2016.0,Section 5311,CA-2017-025 | 0017000158,2016.0,Kings County Area Public Transit Agency,BCG0000126,Operating Assistance ,300902,64BO17-00404,107893.0,195000.0,107893.0,0.0,0.0,Open,Kings County Area Public Transit Agency,Hanford,CA,9200,90200,Independent Public Agency or Authority of Transit Service,Full Reporter,87941.0,22.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,3.0,0.0,Vans,,,,,,,,,
2016.0,Section 5311,CA-2017-025 | 0017000158,2016.0,Lake Transit Authority,BCG0000255,Operating Assistance ,300902,64BO17-00405,345419.0,345419.0,345419.0,0.0,0.0,Open,Lake Transit Authority,Lower Lake,CA,9R02-001,9R02-91053,Independent Public Agency or Authority of Transit Service,Rural Reporter,0.0,29.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,Vans,Lake Transit Authority,159.0,"ok,needed,needed",1.0,1.0,1.0,1.0,1.0,1.0
2016.0,Section 5311,CA-2017-025 | 0017000158,2016.0,Lassen Transit Service Agency,BCG0000282,Operating Assistance,300902,64BO17-00406,186397.0,186397.0,186397.0,0.0,0.0,Open,Lassen Transit Service Agency,Susanville,CA,9R02-021,9R02-91098,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,Vans,Lassen Transit Service Agency,162.0,"ok,needed,needed",0.0,1.0,1.0,0.0,1.0,0.0
