agency,ntd_id,_merge
"County of Placer, dba: Placer County Department of Public Works",90196,right_only
"City of Fairfield, California, dba: Fairfield and Suisun Transit",90092,right_only
Solano County Transit,90232,right_only
City of Santa Rosa,90017,right_only
"University of California, Davis, dba: Unitrans",90142,right_only
Altamont Corridor Express,90182,right_only
City of Glendale,99423,right_only
"City of Pasadena, dba: Pasadena Transit",99424,right_only
"City of Norwalk, dba: Norwalk Transit System ",90022,right_only
"Stanislaus County, dba: Stanislaus Regional Transit",90236,right_only
"City of Santa Maria, dba: Santa Maria Area Transit",90087,right_only
"City of Thousand Oaks, dba: Thousand Oaks Transit",90165,right_only
Palos Verdes Peninsula Transit Authority,90287,right_only
Redding Area Bus Authority,90093,right_only
Easy Lift Transportation,90243,right_only
City of Madera,90199,right_only
Tulare County Area Transit,9R02-91055,right_only
City of Riverside,90086,right_only
"City of Laguna Beach, dba: Laguna Beach Transit",90119,right_only
"City of Roseville, dba: Roseville Transit",90168,right_only
City of Burbank,90256,right_only
Tuolumne County Transit,9R02-91057,right_only
"City of Camarillo, dba: Camarillo Area Transit",90163,right_only
"City of Union City, dba: Union City Transit",90161,right_only
San Benito County LTA,9R02-91009,right_only
"City of Simi Valley, dba: Simi Valley Transit",90050,right_only
City of Huntington Park,90267,right_only
"Mountain Area Regional Transit Authority, dba: Mountain Transit",9R02-91012,right_only
"City of Vacaville, dba: City Coach",90155,right_only
"City of Lodi, dba: GrapeLine",90175,right_only
City of Cerritos,90259,right_only
Los Angeles County Department of Public Works - East L.A.,90271,right_only
"City of San Luis Obispo, dba: SLO Transit",90156,right_only
"City of Petaluma, dba: Petaluma Transit",90213,right_only
City of Alhambra,90247,right_only
City of Calabasas,90257,right_only
City of Carson,90258,right_only
City of Downey,90263,right_only
Nevada County Transit Services,9R02-91095,right_only
"City of Commerce, dba: City of Commerce Municipal Buslines",90043,right_only
"City of Arcadia, dba: Arcadia Transit",90044,right_only
City of Corona,90052,right_only
"City of Redondo Beach, dba: Beach Cities Transit",90214,right_only
City of Monterey Park,90286,right_only
City of South Gate,90291,right_only
Tehama County,9R02-91089,right_only
"City of Tracy, dba: TRACER",90197,right_only
"City of El Monte, dba: City of El Monte Transportation Division",90265,right_only
City of Glendora,90266,right_only
San Luis Obispo Council of Governments,90297,right_only
Santa Barbara County Association of Governments,90303,right_only
County of Sacramento Municipal Services Agency Department of Transportation,9R02-90216,right_only
City of Whittier,90295,right_only
Sonoma-Marin Area Rail Transit District,90299,right_only
"City of Lakewood, dba: DASH Transit",90301,right_only
Amador Regional Transit System,9R02-91000,right_only
"San Francisco Bay Area Water Emergency Transportation Authority, dba: San Francisco Bay Ferry",90225,right_only
"City of Lompoc, dba: Lompoc Transit",90149,right_only
"City of Turlock, dba: Turlock Transit",90201,right_only
"City of Tulare, dba: Tulare Intermodal Express",90244,right_only
City of Bell,90252,right_only
Los Angeles County Department of Public Works - Whittier,90277,right_only
Yosemite Area Regional Transportation System,9R02-91070,right_only
City of Inglewood,90268,right_only
City of West Hollywood,90294,right_only
"City of Dixon, dba: Readi-Ride",9R02-91041,right_only
"County of Siskiyou, dba: Siskiyou County Transit",9R02-91048,right_only
"City of Eureka, dba: Eureka Transit Service",9R02-91093,right_only
"City of Shafter, dba: Shafter Dial-A-Ride",9R02-91120,right_only
City of Delano,90238,right_only
"City of Baldwin Park, dba: Baldwin Park Transit",90251,right_only
City of West Covina,90293,right_only
"Madera County, dba: Madera County Connection Transit",9R02-91005,right_only
"Mariposa County Transit, dba: Mari-Go",9R02-91082,right_only
"City of La Mirada, dba: La Mirada Transit ",90024,right_only
"City of Compton , dba: Compton Renaissance Transit Service",90260,right_only
"City of Manteca, dba: Manteca Transit",90217,right_only
City of Azusa,90250,right_only
City of Cudahy,90262,right_only
City of Maywood,90284,right_only
"City of Corcoran, dba: Corcoran Area Transit",9R02-91002,right_only
Calaveras Transit Agency,9R02-99442,right_only
City of Bell Gardens,90253,right_only
Los Angeles County Department of Public Works - South Whittier,90276,right_only
City of Rosemead,90289,right_only
"City of Ridgecrest, dba: Ridgerunner",9R02-91006,right_only
City of Dinuba,9R02-91040,right_only
"City of Davis, dba: Davis Community Transit",90167,right_only
City of Avalon,90249,right_only
City of Bellflower,90254,right_only
City of Beverly Hills,90255,right_only
City of Covina,90261,right_only
City of Lynwood,90281,right_only
City of Manhattan Beach ,90283,right_only
County of Ventura,90298,right_only
Yurok Tribe,99262,right_only
Trinity County,9R02-91035,right_only
Glenn Transit Service,9R02-91088,right_only
"City of Atascadero, dba: Atascadero Dial-a-Ride",90194,right_only
Los Angeles County Dept. of Public Works - Willowbrook et al.,90279,right_only
City of Santa Fe Springs,90290,right_only
City of South Pasadena,90292,right_only
Blue Lake Rancheria,99292,right_only
"City of Rio Vista, dba: Rio Vista Delta Breeze",9R02-91014,right_only
"City of Taft, dba: Taft Area Transit",9R02-91066,right_only
City of Moorpark,90227,right_only
City of Agoura Hills,90246,right_only
Los Angeles County Dept. of Public Works - Florence-Firestone,90273,right_only
City of Lawndale,90280,right_only
City of Monrovia,90285,right_only
City of Pico Rivera,90288,right_only
Susanville Indian Rancheria,99256,right_only
Chemehuevi Indian Tribe,99316,right_only
North Fork Rancheria of Mono Indians of California,99364,right_only
Elk Valley Rancheria,99452,right_only
"City of Chowchilla, dba: Chowchilla Area Transit ",9R02-91071,right_only
"City of Escalon, dba: eTrans",9R02-91078,right_only
Alpine County Local Transportation Commission,9R02-91116,right_only
"Wasco, City of",9R02-99426,right_only
Los Angeles County Department of Public Works - Avocado Heights,90270,right_only
Los Angeles County Department of Public Works - East Valinda,90272,right_only
Morongo Band of Mission Indians,99358,right_only
"City of Needles, dba: Needles Area Transit",9R02-91020,right_only
City of South El Monte,A0003-99443,right_only
City of La Habra Heights,A0003-99445,right_only
Playa Vista Parks and Landscape Corp.,A0003-99446,right_only
City of Sierra Madre,A0003-99447,right_only
City of El Segundo,A0003-99449,right_only
City of Hawaiian Gardens,A0003-99450,right_only
City of San Fernando,A0003-99451,right_only
