Grant_Fiscal_Year,Funding_Program,Grant_Number,Project_Year,Organization_Name,UPIN,Description,ALI,Contract_Number,AllocationAmount,Encumbered_Amount,ExpendedAmount,ActiveBalance,ClosedOutBalance,Project_Status
2014,Section 5311,CA-18-X069 | 0015000075,2016,Madera County,BCG0000285,Purchase Expansion <30ft Bus,111304,64BC17-00480,74828.0,341680.0,73948.39,879.61,0,Open
2014,Section 5311,CA-18-X069 | 0015000075,2016,Modoc Transportation Agency,BCG0000082,Operating Assistance - Dial A Ride,300902,64BO17-00412,20000.0,37170.0,20000.0,0.0,0,Open
2014,Section 5311,CA-18-X069 | 0015000075,2016,Yuba-Sutter Transit Authority,BCG0000134,Purchase Replacement Std 40 Ft Bus ,111201,64BC17-00441,189661.0,526572.0,0.0,189661.0,0,Open
2014,Section 5311,CA-18-X069 | 0015000075,2017,San Diego Metropolitan Transit System,BCG0001128,Operating Assistance Sliding Scale ,300902,64BO17-00579,131388.0,275000.0,131388.0,0.0,0,Open
2015,Section 5311,CA-18-X077 | 0016000239,2016,City of Arcata,BCG0000195,Operating Assistance,300902,64BO17-00364,10650.0,140000.0,10650.0,0.0,0,In Development
2015,Section 5311,CA-18-X077 | 0016000239,2016,Yuba-Sutter Transit Authority,BCG0000134,Purchase Replacement Std 40 Ft Bus ,111201,64BC17-00441,126367.0,526572.0,0.0,126367.0,0,Open
2015,Section 5311,CA-18-X077 | 0016000239,2017,City of Arcata,BCG0001202,Operating Assistance Sliding Scale,300902,64BO17-00497,16868.0,150000.0,16868.0,0.0,0,Open
2015,Section 5311,CA-18-X077 | 0016000239,2017,Modoc Transportation Agency,BCG0001103,Operating Assistance Sliding Scale,300902,64BO17-00506,34569.0,86827.0,34569.0,0.0,0,Open
2015,Section 5311,CA-18-X077 | 0016000239,2019,Humboldt Transit Authority,BCG0001490,Purchase Misc Communications Equip ,116220,64BC19-00926,-278761.0,278761.0,0.0,-278761.0,0,Open
2015,Section 5311,CA-18-X077 | 0016000239,2019,Humboldt Transit Authority,BCG0001490,Purchase Misc Communications Equip ,116220,64BC19-00926,278761.0,278761.0,0.0,278761.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Butte County Association of Governments/ Butte Regional Transit,BCG0000246,FY 15/16 Section 5311 Operating Assistance (Federal Share 55.33%),300902,64BO17-00361,650743.0,650743.0,650743.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Calaveras County Public Works,BCG0000202,Preventive Maintenance ,117A00,64BC17-00363,108891.0,108891.0,107541.02,1349.98,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Calaveras County Public Works,BCG0000203,Operating Assistance,300902,64BO17-00362,134571.0,134571.0,134571.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,City of Arcata,BCG0000195,Operating Assistance,300902,64BO17-00364,115350.0,140000.0,115350.0,0.0,0,In Development
2016,Section 5311,CA-2017-025 | 0017000158,2016,City of Arvin,BCG0000187,Operating Assistance Sliding Scale,300902,64BO17-00365,62188.0,62188.0,62188.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,City of Auburn,BCG0000137,Operating Assistance ,300902,64BO17-00366,68989.0,68989.0,68989.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,City of California City,BCG0000188,Operating Assistance,300902,64BO17-00367,40705.0,40705.0,40705.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,City of Chowchilla ,BCG0000228,Operating Assistance,300902,64BO17-00368,61290.0,114511.0,61290.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,City of Dinuba ,BCG0000178,Operating Assistance ,300902,64BO17-00370,232398.0,268000.0,232398.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,City of Dixon,BCG0000163,Operating Assistance ,300902,64BO17-00371,183266.0,183266.0,183266.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,City of Escalon ,BCG0000244,Operating Assistance ,300902,64BO17-00372,39976.0,39976.0,35280.22,4695.78,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,City of Fairfield,BCG0000231,Operating Assistance,300902,64BO17-00374,100000.0,100000.0,100000.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,City of Guadalupe,BCG0000098,Operating Assistance ,300902,64BO17-00375,58067.0,58067.0,58067.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,City of McFarland,BCG0000210,Operating Assistance ,300902,64BO17-00376,43401.0,43401.0,43401.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,City of Needles,BCG0000184,Operating Assistance ,300902,64BO17-00377,40237.0,40237.0,40237.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,City of Ojai,BCG0000120,Operating Assistance,300902,64BO17-00379,376844.0,376844.0,376844.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,City of Porterville,BCG0000143,Operating Assistance,300902,64BO17-00380,162670.0,274000.0,151465.86,11204.14,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,City of Ridgecrest,BCG0000144,Operating Assistance ,300902,64BO17-00381,87869.0,87869.0,87869.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,City of Rio Vista,BCG0000091,Operating Assistance,300902,64BO17-00382,105000.0,105000.0,105000.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,City of Shafter,BCG0000177,Operating Assistance ,300902,64BO17-00383,55562.0,55562.0,55562.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,City of Solvang,BCG0000152,Operating Assistance,300902,64BO17-00384,189028.0,189028.0,189028.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,City of Taft,BCG0000257,Operating Assistance ,300902,64BO17-00385,29237.0,29237.0,29237.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,City of Tehachapi,BCG0000140,Operating Assistance 5311 Dial-A-Ride,300902,64BO17-00386,40281.0,40281.0,40281.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,City of Wasco,BCG0000227,Operating Assistance ,300902,64BO17-00387,80792.0,80792.0,78370.83,2421.17,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,City of Woodlake,BCG0000238,Operating Assistance ,300902,64BO17-00388,86122.0,87000.0,68764.05,17357.95,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Colusa County Transit Agency,BCG0000133,Operating Assistance,300902,64BO17-00389,114413.0,114413.0,114413.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,County of Los Angeles - Department of Public Works,BCG0000071,Operating Assistance ,300902,64BO17-00390,400384.0,400384.0,400384.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,County of Mariposa,BCG0000269,Operating Assistance,300902,64BO17-00391,97491.0,97491.0,97491.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,"County of Nevada Public Works, Transit Services Division",BCG0000272,Operating Assistance ,300902,64BO17-00392,440467.0,440467.0,440467.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,County of Sacramento Department of Transportation,BCG0000171,Operating Assistance for Sacramento County rural Transit Program,300902,64BO17-00393,275122.0,275122.0,275122.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,County of Shasta Department of Public Works,BCG0000092,Operating Assistance ,300902,64BO17-00394,138255.0,249872.0,138255.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,County of Siskiyou,BCG0000119,Operating Assistance ,300902,64BO17-00395,239841.0,239841.0,239841.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,County of Tulare,BCG0000214,Operating Assistance,300902,64BO17-00396,220000.0,220000.0,220000.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Eastern Sierra Transit Authority,BCG0000088,Operating Assistance Inyo,300902,64BO17-00397,99066.0,99066.0,99066.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Eastern Sierra Transit Authority,BCG0000102,Operating Assistance Mono,300902,64BO17-00478,75862.0,75862.0,75862.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,El Dorado County Transit Authority,BCG0000122,Operating Assistance ,300902,64BO17-00398,474917.0,474917.0,474917.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Eureka Transit Service,BCG0000207,Operating Assistance ,300902,64BO17-00373,125000.0,125000.0,125000.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Fresno County Rural Transit Agency,BCG0000267,Operating Assistance,300902,64BO17-00399,1473348.0,1552366.0,1473348.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Glenn County Transportation Commission,BCG0000230,Operating Assistance ,300902,64BO17-00400,150218.0,150218.0,150218.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Humboldt Transit Authority,BCG0000110,Purchase Replacement Std 40 Ft Bus ,111201,64BC17-00401,278761.0,278761.0,0.0,278761.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Humboldt Transit Authority,BCG0000111,Buy <30-Ft Bus For Expansion ,111304,64BC17-00401,200000.0,200000.0,200000.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Imperial County Transportation Commission,BCG0000183,Operating Assistance ,300902,64BO17-00402,64841.0,64841.0,64841.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Imperial County Transportation Commission,BCG0000185,Operating Assistance ,300902,64BO17-00402,32293.0,32293.0,32293.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Imperial County Transportation Commission,BCG0000186,Operating Assistance ,300902,64BO17-00402,164302.0,164302.0,164302.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Kern Regional Transit,BCG0000169,Operating Assistance,300902,64BO17-00403,955554.0,955554.0,955554.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Kings County Area Public Transit Agency,BCG0000126,Operating Assistance ,300902,64BO17-00404,107893.0,195000.0,107893.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Lake Transit Authority,BCG0000255,Operating Assistance ,300902,64BO17-00405,345419.0,345419.0,345419.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Lassen Transit Service Agency,BCG0000282,Operating Assistance,300902,64BO17-00406,186397.0,186397.0,186397.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Livermore Amador Valley Transit Authority,BCG0000157,Operating Assistance,300902,64BO17-00407,41460.0,41460.0,41460.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Marin County Transit District,BCG0000229,Operating Assistance,300902,64BO17-00410,200063.0,200063.0,200063.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Mendocino Transit Authority,BCG0000124,Operating Assistance ,300902,64BO17-00411,469217.0,469217.0,469217.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Modoc Transportation Agency,BCG0000082,Operating Assistance - Dial A Ride,300902,64BO17-00412,17170.0,37170.0,17170.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Monterey-Salinas Transit,BCG0000089,Operating Assistance ,300902,64BO17-00413,582033.0,582033.0,0.0,582033.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Morongo Basin Transit Authority,BCG0000180,Operating Assistance,300902,64BO17-00414,393918.0,393918.0,393918.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Mountain Area Regional Transit Authority,BCG0000213,Operating Assistance,300902,64BO17-00415,272707.0,272707.0,272707.0,0.0,0,In Development
2016,Section 5311,CA-2017-025 | 0017000158,2016,Napa Valley Transportation Authority,BCG0000128,Operating Assistance ,300902,64BO17-00416,200991.0,200991.0,200991.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,North County Transit District,BCG0000154,Operating Assistance,300902,64BO17-00417,411177.0,411177.0,411177.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Placer County Public Works (TART & PCT),BCG0000245,Operating Assistance ,300902,64BO17-00419,283000.0,283000.0,0.0,283000.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Placer County Public Works (TART & PCT),BCG0000249,Purchase Replacement Std 40 Ft Bus ,111201,64BC17-00418,92865.0,92865.0,92865.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Plumas County Transportation Commission,BCG0000193,Operating Assistance,300902,64BO17-00420,106871.0,106871.0,106871.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Redwood Coast Transit Authority,BCG0000192,Operating Assistance FTA 5311,300902,64BO17-00421,152825.0,152825.0,152825.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Riverside Transit Agency,BCG0000130,Operating Assistance ,300902,64BO17-00422,550261.0,550261.0,550261.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,San Benito County Local Transportation Authority,BCG0000247,Operating Assistance,300902,64BO17-00423,295228.0,295228.0,295228.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,San Diego Metropolitan Transit System,BCG0000086,Rural Operating Assistance ,300902,64BO17-00424,265000.0,265000.0,265000.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,San Joaquin Regional Transit District,BCG0000261,Operating Assistance Sliding Scale,300902,64BO17-00425,359783.0,359783.0,359783.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,San Luis Obispo Regional Transit Authority,BCG0000078,Operating Assistance,300902,64BO17-00426,498211.0,498211.0,498211.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,San Mateo County Transit District,BCG0000107,Operating Assistance ,300902,64BO17-00427,148815.0,148815.0,148815.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Santa Clara Valley Transportation Authority,BCG0000151,Operating Assistance,300902,64BO17-00428,76355.0,76355.0,76355.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Santa Cruz Metropolitan Transit District,BCG0000250,Operating Assistance,300902,64BO17-00429,168738.0,168738.0,168738.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Sierra County Transportation Commission,BCG0000069,Operating Assistance Sliding Scale,300902,64BO17-00430,48000.0,48000.0,48000.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Sonoma County Transit,BCG0000288,Purchase Replacement < 30 Ft Bus,111204,64BC17-00431,75588.0,75588.0,71949.43,3638.57,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Sonoma County Transit,BCG0000289,Purchase Replacement < 30 Ft Bus,111204,64BC17-00431,75588.0,75588.0,71949.43,3638.57,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Sonoma County Transit,BCG0000290,Purchase Replacement < 30 Ft Bus,111204,64BC17-00431,75588.0,75588.0,71949.43,3638.57,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Sonoma County Transit,BCG0000291,Purchase Replacement < 30 Ft Bus,111204,64BC17-00431,75588.0,75588.0,71949.43,3638.57,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Sonoma County Transit,BCG0000292,Purchase Replacement Van,111215,64BC17-00431,39519.5,39519.5,39519.5,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Sonoma County Transit,BCG0000293,Purchase Replacement Van,111215,64BC17-00431,39520.0,39520.0,39520.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Sonoma County Transit,BCG0000294,Purchase Replacement Van,111215,64BC17-00431,39519.5,39519.5,39519.5,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Sonoma County Transit,BCG0000295,Purchase Replacement Van,111215,64BC17-00431,39519.0,39519.0,39519.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Stanislaus County Public Works - Transit Division,BCG0000085,Operating Assistance ,300902,64BO17-00432,433556.0,433556.0,433556.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Sunline Transit Agency,BCG0000206,Operating Assistance,300902,64BO17-00433,341572.0,341572.0,341572.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Tehama County Transit Agency,BCG0000191,Operating Assistance,300902,64BO17-00434,338998.0,338998.0,338998.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Town of Truckee,BCG0000159,Operating Assistance,300902,64BO17-00435,87097.0,87097.0,87097.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Transit Joint Powers Authority for Merced County,BCG0000142,Operating Assistance ,300902,64BO17-00436,502309.0,502309.0,502309.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Trinity County Department of Transportation ,BCG0000147,Construction - Bus Shelters ,119302,64BC17-00437,23376.0,23376.0,7891.9,15484.1,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Trinity County Department of Transportation ,BCG0000148,Purchase Replacement Van ,111215,64BC17-00437,44499.0,50264.0,44499.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Tuolumne County Transit Agency (TCTA),BCG0000105,Operating Assistance for Tuolumne County Transit,300902,64BO17-00438,295741.0,295741.0,295741.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Victor Valley Transit Authority,BCG0000090,Operating Assistance ,300902,64BO17-00439,591098.0,591098.0,591098.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Yolo County Transportation District,BCG0000253,Rural Operating Assistance,300902,64BO17-00440,130879.0,130879.0,130879.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2016,Yuba-Sutter Transit Authority,BCG0000136,Operating Assistance ,300902,64BO17-00442,228000.0,228000.0,228000.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2017,Alpine County Community Development,BCG0000145,Alpine County Operating Assistance,300902,64BO17-00359,48000.0,48000.0,34673.12,13326.88,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2017,Amador Transit,BCG0000149,Operating Assistance,300902,64BO17-00360,203469.0,203469.0,203469.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2017,City of Corcoran - Corcoran Area Transit,BCG0000146,Operating Assistance ,300901,64BO17-00369,152427.0,152427.0,152427.0,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2017,County of Shasta Department of Public Works,BCG0001271,Operating Assistance Sliding Scale ,300902,64BO17-00511,67914.0,342264.0,0.0,67914.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2018,County of Shasta Department of Public Works,BCG0001269,Operating Assistance Sliding Scale ,300902,64BO19-00811,46620.0,542398.0,9826.75,36793.25,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2018,Yuba-Sutter Transit Authority,BCG0001292,Purchase Replacement < 30 Ft Bus ,111204,64BC19-00829,10900.6,75000.0,10900.6,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2018,Yuba-Sutter Transit Authority,BCG0001294,Purchase Replacement < 30 Ft Bus ,111204,64BC19-00829,10900.6,75000.0,10900.6,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2018,Yuba-Sutter Transit Authority,BCG0001295,Purchase Replacement < 30 Ft Bus ,111204,64BC19-00829,10900.6,75000.0,10900.6,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2018,Yuba-Sutter Transit Authority,BCG0001461,Purchase Replacement < 30 Ft Bus ,111204,64BC19-00829,10900.6,75000.0,10900.6,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2018,Yuba-Sutter Transit Authority,BCG0001464,Purchase Replacement < 30 Ft Bus,111204,64BC19-00829,10900.6,75000.0,10900.6,0.0,0,Open
2016,Section 5311,CA-2017-025 | 0017000158,2019,Humboldt Transit Authority,BCG0001490,Purchase Misc Communications Equip ,116220,64BC19-00926,278761.0,278761.0,0.0,278761.0,0,Open
2017,5311(f) Cont,TBD,2017,Butte County Association of Governments/ Butte Regional Transit,BCG0000248,FTA FY16/17 Section 5311(f) Operating Assistance,300902,64CO17-00461,300000.0,300000.0,281367.0,18633.0,0,Open
2017,5311(f) Cont,TBD,2017,Calaveras County Public Works,BCG0000211,Operating Assistance,300902,64CO17-00462,71510.0,71510.0,50943.96,20566.04,0,Open
2017,5311(f) Cont,TBD,2017,Eastern Sierra Transit Authority,BCG0000125,Operating Assistance,300902,64CO17-00463,244877.0,244877.0,163552.64,81324.36,0,Open
2017,5311(f) Cont,TBD,2017,Fresno Council of Governments,BCG0000114,Operating Assistance,300902,64CO17-00464,300000.0,300000.0,237072.33,62927.67,0,Open
2017,5311(f) Cont,TBD,2017,Humboldt Transit Authority,BCG0000139,Operating Assistance ,300902,64CO17-00465,300000.0,300000.0,300000.0,0.0,0,Open
2017,5311(f) Cont,TBD,2017,Kern Regional Transit,BCG0000252,Operating Assistance,300902,64CO17-00466,300000.0,300000.0,300000.0,0.0,0,Open
2017,5311(f) Cont,TBD,2017,Klamath Trinity Non-Emergency Transportation​,BCG0000168,Operating Assistance ,300902,64CO17-00467,8344.0,8344.0,8344.0,0.0,0,Open
2017,5311(f) Cont,TBD,2017,Lake Transit Authority,BCG0000232,Operating Assistance - Calistoga-Upper Lake,300902,64CO17-00468,283301.0,283301.0,243371.17,39929.83,0,Open
2017,5311(f) Cont,TBD,2017,Lake Transit Authority,BCG0000241,Operating Assistance - Clearlake/Ukiah,300902,64CO17-00468,213660.0,213660.0,114773.82,98886.18,0,Open
2017,5311(f) Cont,TBD,2017,Monterey-Salinas Transit,BCG0000094,Operating Assistance - Line 82 Continuation of SA# 64CO16-00206 ,300902,64CO17-00469,180000.0,180000.0,67659.19,112340.81,0,Open
2017,5311(f) Cont,TBD,2017,Monterey-Salinas Transit,BCG0000096,Operating Assistance- Line 84 Continuation of SA# 6414416 ,300902,64CO17-00469,216000.0,216000.0,84674.26,131325.74,0,Open
2017,5311(f) Cont,TBD,2017,Monterey-Salinas Transit,BCG0000097,Operating Assistance - Line 86 Continuation of SA# 64CO15-00340,300902,64CO17-00469,192000.0,192000.0,79395.23,112604.77,0,Open
2017,5311(f) Cont,TBD,2017,Mountain Area Regional Transit Authority,BCG0000212,Operating Assistance,300902,64CO17-00470,201839.0,201839.0,201839.0,0.0,0,Open
2017,5311(f) Cont,TBD,2017,Napa Valley Transportation Authority,BCG0000129,Operating Assistance ,300902,64CO17-00471,300000.0,300000.0,300000.0,0.0,0,Open
2017,5311(f) Cont,TBD,2017,Plumas County Transportation Commission,BCG0000170,Operating Assistance,300902,64CO17-00472,115304.0,115304.0,55640.28,59663.72,0,Open
2017,5311(f) Cont,TBD,2017,Sunline Transit Agency,BCG0000208,Operating Assistance,300902,64CO17-00473,110660.0,110660.0,110660.0,0.0,0,Open
2017,5311(f) Cont,TBD,2017,Yosemite Area Regional Transportation System ,BCG0000302,Short Range Transit Planning,442400,64CP17-00474,100000.0,100000.0,100000.0,0.0,0,Open
2017,CMAQ (FTA 5311),CA-2018-048 | 0018000002,2017,County of Tulare,BCG0000224,Purchase Replacement Std 35 Ft Bus,111202,64CH17-00475,176174.5,176174.5,176174.5,0.0,0,Open
2017,CMAQ (FTA 5311),CA-2018-048 | 0018000002,2017,County of Tulare,BCG0000276,Purchase Replacement Std 35 Ft Bus,111202,64CH17-00475,176174.5,176174.5,176174.5,0.0,0,Open
2017,CMAQ (FTA 5311),CA-2018-048 | 0018000002,2017,Morongo Basin Transit Authority,BCG0000181,Purchase Replacement < 30 Ft Bus,111204,64CH17-00476,90761.0,90761.0,90671.0,90.0,0,Open
2017,CMAQ (FTA 5311),CA-2018-048 | 0018000002,2017,Morongo Basin Transit Authority,BCG0000273,Purchase Replacement < 30 Ft Bus,111204,64CH17-00476,90762.0,90762.0,90762.0,0.0,0,Open
2017,CMAQ (FTA 5311),CA-2018-048 | 0018000002,2017,Morongo Basin Transit Authority,BCG0000274,Purchase Replacement Std 35 Ft Bus,111202,64CH17-00476,113978.0,113978.0,113978.0,0.0,0,Open
2017,CMAQ (FTA 5311),CA-2018-048 | 0018000002,2017,Morongo Basin Transit Authority,BCG0000275,Purchase Replacement Std 35 Ft Bus,111202,64CH17-00476,113978.0,113978.0,113978.0,0.0,0,Open
