ntd_id_x,ntd_id_y,agency_name_ntd,name_airtable,doing_business_as,reporter_acronym,organization_type_x,organization_type_y,roles,organization_type_z,reporter_type,city,itp_id,opm_id_drmt,mobility_services_operated,mpo_rtpa,_merge,,,Left only =  NTD,Right Only = Airtable
90044,90044,City of Arcadia,City of Arcadia,Arcadia Transit,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Arcadia,17,719003,"Arcadia Transit,Arcadia Transit Dial-A-Ride",Southern California Association of Governments,both,,,,
9R02-91018,9R02-91018,City of Arcata,City of Arcata,,AMRTS,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Rural Reporter,Arcata,18,112002,Arcata and Mad River Transit System,,both,,,,
90300,90300,City of Artesia,City of Artesia,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Artesia,20,,"Artesia Express Dial-A-Ride,Artesia Transit",Southern California Association of Governments,both,,,,
9R02-91027,9R02-91027,City of Arvin,City of Arvin,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Rural Reporter,Arvin,21,615002,"Arvin Transit,Arvin Transit Dial-A-Ride",Kern Council of Governments,both,,,,
90194,90194,City of Atascadero,City of Atascadero,Atascadero Dial-a-Ride,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Atascadero,22,540001,Atascadero Dial-A-Ride,San Luis Obispo Council of Governments,both,,,,
9R02-91032,9R02-91032,City of Auburn,City of Auburn,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Rural Reporter,Auburn,23,331002,Auburn Transit,Sacramento Area Council of Governments,both,,,,
90249,90249,City of Avalon,City of Avalon,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Avalon,24,,,Southern California Association of Governments,both,,,,
90250,90250,City of Azusa,City of Azusa,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Azusa,26,,"Azusa Dial-A-Ride,Azusa Gold Line Shuttle",Southern California Association of Governments,both,,,,
90251,90251,City of Baldwin Park,City of Baldwin Park,Baldwin Park Transit,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Baldwin Park,29,,"Baldwin Park Transit,Baldwin Park Transit Dial-A-Ride",Southern California Association of Governments,both,,,,
90252,90252,City of Bell,City of Bell,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Bell,35,,"La Campana,Bell Dial-A-Ride",Southern California Association of Governments,both,,,,
90253,90253,City of Bell Gardens,City of Bell Gardens,,BG,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Bell,36,,"Bell Gardens Trolly,Bell Gardens Dial-A-Ride",Southern California Association of Governments,both,,,,
90254,90254,City of Bellflower,City of Bellflower,,BLF,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Bellflower,37,,"Bellflower Bus,Bellflower Dial-A-Ride",Southern California Association of Governments,both,,,,
90255,90255,City of Beverly Hills,City of Beverly Hills,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Beverly Hills,39,,"Beverly Hills Trolley,Beverly Hills Dial-A-Ride",Southern California Association of Governments,both,,,,
90256,90257,City of Burbank,City of Burbank,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Burbank,45,,"Burbank Bus,Burbank Bus Senior and Disabled",Southern California Association of Governments,both,,,,
90257,90256,City of Calabasas,City of Calabasas,,COC,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Calabasas,49,,"Calabasas Shuttle,Calabasas Trolley,Calabasas Dial-A-Ride",Southern California Association of Governments,both,,,,
9R02-91111,9R02-91111,City of California City,City of California City,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Rural Reporter,California City,51,615003,,Kern Council of Governments,both,,,,
90163,90163,City of Camarillo,City of Camarillo,Camarillo Area Transit,CAT,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Camarillo,54,756002,"Camarillo Area Transit,Camarillo Trolly,Camarillo Dial-A-Ride",Southern California Association of Governments,both,,,,
90258,90258,City of Carson,City of Carson,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Carson,57,,Carson Dial-A-Ride,Southern California Association of Governments,both,,,,
90259,90259,City of Cerritos,City of Cerritos,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Cerritos,63,,"Cerritos on Wheels,Cerritos Dial-A-Ride",Southern California Association of Governments,both,,,,
9R02-91071,9R02-91071,City of Chowchilla,City of Chowchilla,Chowchilla Area Transit ,CATX,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Rural Reporter,Chowchilla,65,620002,The City BUS,Madera County Transportation Commission,both,,,,
90296,90296,City of Claremont,City of Claremont,Claremont Dial-a-Ride,CLDAR,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Claremont,,,,,both,,,,
90043,90043,City of Commerce,City of Commerce,City of Commerce Municipal Buslines,CBL,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Full Reporter,Commerce,75,719005,"Commerce Municipal Bus Lines,Commerce Dial-A-Ride",Southern California Association of Governments,both,,,,
90260,90260,City of Compton  ,City of Compton,Compton Renaissance Transit Service,CRT,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Compton,77,,Compton Dial-A-Ride,Southern California Association of Governments,both,,,,
9R02-91002,9R02-91002,City of Corcoran,City of Corcoran,Corcoran Area Transit,CAT,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Rural Reporter,Corcoran,78,616002,Corcoran Area Transit,Kings County Association of Governments,both,,,,
90052,90052,City of Corona,City of Corona,,CCTS,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Corona,79,833004,"Corona Cruiser,Corona Dial-A-Ride",Southern California Association of Governments,both,,,,
90261,90261,City of Covina,City of Covina,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Covina,85,,Covina Dial-A-Ride,Southern California Association of Governments,both,,,,
90262,90262,City of Cudahy,City of Cudahy,,COC,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Cudahy,86,,"Cudahy Area Rapid Transit,Cudahy Dial-A-Ride",Southern California Association of Governments,both,,,,
90039,,City of Culver City,City of Culver City,Culver City Municipal Bus Lines (CityBus),,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Full Reporter,Culver City,87,719006,"Culver CityBus,Culver City Dial-A-Ride",Southern California Association of Governments,both,,,,
90167,90167,City of Davis,City of Davis,Davis Community Transit,DCT,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Davis,,,Davis Community Transit,,both,,,,
90238,90238,City of Delano,City of Delano,,DART,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Delano,91,615004,"Delano Area Rapid Transit,Delano Dial-A-Ride",Kern Council of Governments,both,,,,
9R02-91040,9R02-91040,City of Dinuba,City of Dinuba,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Rural Reporter,Dinuba,93,654011,Dinuba Area Regional Transit,Tulare County Association of Governments,both,,,,
90263,90263,City of Downey,City of Downey,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Downey,95,,Downy Dial-A-Ride,Southern California Association of Governments,both,,,,
90265,90265,City of El Monte ,City of El Monte,City of El Monte Transportation Division,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,El Monte,102,,"El Monte Dial-A-Ride,El Monte Transit,El Monte Commuter Shuttles",Southern California Association of Governments,both,,,,
A0003-99449,,City of El Segundo,City of El Segundo,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Asset Reporter,El Segundo,103,,"El Segundo Dial-A-Ride,El Segundo Doctor Dial-A-Ride,El Segundo Lunchtime Shuttle,El Segundo Beach Shuttle",Southern California Association of Governments,both,,,,
90205,90205,City of Elk Grove,City of Elk Grove,e-tran,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Full Reporter,Elk Grove,105,,,,both,,,,
9R02-91078,,City of Escalon,City of Escalon,eTrans,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Rural Reporter,Escalon,,,,,both,,,,
9R02-91093,9R02-91093,City of Eureka ,City of Eureka,Eureka Transit Service,ETS,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Rural Reporter,Eureka,108,112003,Eureka Transit Service,,both,,,,
90092,90092,City of Fairfield California,City of Fairfield,Fairfield and Suisun Transit,FAST,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Full Reporter,Fairfield,110,448002,"Fairfield and Suisun Transit,DART Paratransit,Solano Express",Metropolitan Transportation Commission,both,,,,
90027,90027,City of Fresno,City of Fresno,Fresno Area Express,FAX,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Full Reporter,Fresno,116,610003,"Fresno Area Express,FAX Handy Ride",Fresno Council of Governments,both,,,,
90042,,City of Gardena,City of Gardena,GTrans,GTrans,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Full Reporter,Gardena,118,719008,"GTrans,GTrans Special Transit",Southern California Association of Governments,both,,,,
99423,99423,City of Glendale,City of Glendale,Beeline,Beeline,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Full Reporter,Glendale,120,,"Glendale Beeline,Glendale Dial-A-Ride",Southern California Association of Governments,both,,,,
90266,90266,City of Glendora,City of Glendora,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Glendora,121,,"Glendora Shuttles,Glendora Dial-A-Ride",Southern California Association of Governments,both,,,,
9R02-91043,9R02-91043,City of Guadalupe,City of Guadalupe,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Rural Reporter,Guadalupe,129,542001,,Santa Barbara County Association of Governments,both,,,,
A0003-99450,,City of Hawaiian Gardens,City of Hawaiian Gardens,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Asset Reporter,Hawaiian Gardens,131,,"Hawaiian Gardens Dial-a-Ride,Hawaiian Gardens Red Route",Southern California Association of Governments,both,,,,
90267,,City of Huntington Park,City of Huntington Park,,HPCA,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Huntington Park,137,,Huntington Park Express,,both,,,,
90268,90268,City of Inglewood,City of Inglewood,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Inglewood,139,,"""Inglewood, Hawthorn and Lennox Para-Transit"",Inglewood Senior Van,I-Line Shuttle",Southern California Association of Governments,both,,,,
90024,90024,City of La Mirada ,City of La Mirada,La Mirada Transit ,LMT,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Full Reporter,La Mirada,151,719009,,Southern California Association of Governments,both,,,,
90119,90119,City of Laguna Beach,City of Laguna Beach,Laguna Beach Transit,CLB,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Laguna Beach,154,1230002,Laguna Beach Trolley,Southern California Association of Governments,both,,,,
90301,90301,City of Lakewood ,City of Lakewood,DASH Transit,DASH,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Lakewood,,,Lakewood DASH,,both,,,,
90280,90280,City of Lawndale,City of Lawndale,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Lawndale,164,,Lawndale Beat,Southern California Association of Governments,both,,,,
90235,90235,City of Lincoln,City of Lincoln,,COL,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Asset Reporter,Lincoln,,,,,both,,,,
90175,90175,City of Lodi,City of Lodi,GrapeLine,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Lodi,168,1039004,"Grapeline,Vineline and Dial-A-Ride",San Joaquin Council of Governments,both,,,,
90149,90149,City of Lompoc,City of Lompoc,Lompoc Transit,COLT,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Lompoc,169,542002,"City of Lompoc Transit,COLT Santa Barbara Shuttle,COLT Hancock College Night Service,COLT ADA Curb-to-Curb,COLT Wine Country Express",Santa Barbara County Association of Governments,both,,,,
90147,90147,City of Los Angeles,City of Los Angeles,Los Angeles Department of Transportation,LADOT,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Full Reporter,Los Angeles,183,719011,"DASH,Commuter Express,LAnow,Cityride Connector",Southern California Association of Governments,both,,,,
90281,90281,City of Lynwood,City of Lynwood,,COL,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Lynwood,186,,,Southern California Association of Governments,both,,,,
90199,90199,City of Madera,City of Madera,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Madera,188,620004,"Madera Metro,Madera Dial-A-Ride",Madera County Transportation Commission,both,,,,
90282,90282,City of Malibu,City of Malibu,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Malibu,189,,,Southern California Association of Governments,both,,,,
90283,90283,City of Manhattan Beach ,City of Manhattan Beach,,CMB,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Manhattan Beach,191,,Manhattan Beach Dial-A-Ride,Southern California Association of Governments,both,,,,
90217,90217,City of Manteca,City of Manteca,Manteca Transit,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Manteca,192,1039008,"Manteca Transit,Manteca Dial-A-Ride",San Joaquin Council of Governments,both,,,,
90284,90284,City of Maywood,City of Maywood,,COM,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Maywood,196,,"Maywood Dial-A-Ride,Maywood Express Shuttle",Southern California Association of Governments,both,,,,
9R02-91110,9R02-91110,City of McFarland,City of McFarland,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Rural Reporter,Mc Farland,197,615012,McFarland Dial-A-Ride,Kern Council of Governments,both,,,,
90007,90007,City of Modesto ,City of Modesto,Modesto Area Express,MAX,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Full Reporter,Modesto,203,1050002,"Modesto Area Express,eTrans Dial-A-Ride,Modesto Area Dial-A-Ride",Stanislaus Council of Governments,both,,,,
90285,90285,City of Monrovia,City of Monrovia,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Monrovia,205,,Monrovia Transit,Southern California Association of Governments,both,,,,
90041,90041,City of Montebello,City of Montebello,Montebello Bus Lines,MBL,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Full Reporter,Montebello,206,719013,"Montebello Bus Lines,Montebello Link",Southern California Association of Governments,both,,,,
90286,90286,City of Monterey Park,City of Monterey Park,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Monterey Park,207,,"Spirit Bus,Monterey Park Dial-a-Ride",Southern California Association of Governments,both,,,,
90227,90227,City of Moorpark,City of Moorpark,,MCT,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Moorpark,210,756005,Moorpark City Transit,Southern California Association of Governments,both,,,,
9R02-91020,9R02-91020,City of Needles,City of Needles,Needles Area Transit,NAT,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Rural Reporter,Needles,220,836006,"Needles Area Transit,Needles Dial-A-Ride",Southern California Association of Governments,both,,,,
90022,90022,City of Norwalk ,City of Norwalk,Norwalk Transit System ,NTS,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Full Reporter,Norwalk,228,719014,"Norwalk Transit System,Norwalk Dial-A-Ride",Southern California Association of Governments,both,,,,
9R02-91058,9R02-91058,City of Ojai,City of Ojai,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Rural Reporter,Ojai,231,756009,Ojai Trolley,Southern California Association of Governments,both,,,,
99424,99424,City of Pasadena,City of Pasadena,Pasadena Transit,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Full Reporter,Pasadena,243,,"Pasadena Transit,Pasadena Dial-A-Ride",Southern California Association of Governments,both,,,,
90213,90213,City of Petaluma,City of Petaluma,Petaluma Transit,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Full Reporter,Petaluma,247,449001,"Petaluma Transit,Petaluma Paratransit",Metropolitan Transportation Commission,both,,,,
90288,90288,City of Pico Rivera,City of Pico Rivera,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Pico Rivera,248,,Pico Rivera Dial-A-Van,Southern California Association of Governments,both,,,,
90198,90198,City of Porterville,City of Porterville,,COLT,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Porterville,256,654003,"Dial-a-COLT,Porterville Transit",Tulare County Association of Governments,both,,,,
90214,90214,City of Redondo Beach,City of Redondo Beach,Beach Cities Transit,BCT,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Full Reporter,Redondo Beach,260,719015,"Beach Cities Transit,WAVE Dial-A-Ride",Southern California Association of Governments,both,,,,
9R02-91006,,City of Ridgecrest,City of Ridgecrest,Ridgerunner,RTS,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Rural Reporter,Ridgecrest,263,615007,Ridgecrest Transit,Kern Council of Governments,both,,,,
9R02-91014,9R02-91014,City of Rio Vista,City of Rio Vista,Rio Vista Delta Breeze,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Rural Reporter,Rio Vista,264,448003,Rio Vista Delta Breeze,Metropolitan Transportation Commission,both,,,,
90086,90086,City of Riverside,City of Riverside,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Full Reporter,Riverside,268,833006,Riverside Connect,Southern California Association of Governments,both,,,,
90289,90289,City of Rosemead,City of Rosemead,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Rosemead,270,,"Rosemead Explorer,Rosemead Dial-A-Ride",Southern California Association of Governments,both,,,,
90168,90168,City of Roseville,City of Roseville,Roseville Transit,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Roseville,271,331005,"Roseville Transit,Roseville Dial-A-Ride",Sacramento Area Council of Governments,both,,,,
A0003-99451,,City of San Fernando,City of San Fernando,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Asset Reporter,San Fernando,202,,Mission City Transit,Southern California Association of Governments,both,,,,
90156,90156,City of San Luis Obispo,City of San Luis Obispo,SLO Transit,SLO Trans,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Full Reporter,San Luis Obispo,287,540004,SLO Transit,San Luis Obispo Council of Governments,both,,,,
90171,90171,City of Santa Clarita,City of Santa Clarita,Santa Clarita Transit,SCT,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Full Reporter,Santa Clarita,295,719021,"Santa Clarita Transit,Go! Santa Clarita,Santa Clarita Summer Trolly,Santa Clarita Dial-A-Ride",Southern California Association of Governments,both,,,,
90290,90290,City of Santa Fe Springs,City of Santa Fe Springs,,SFS,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Santa Fe Springs,297,,Santa Fe Springs Transit,Southern California Association of Governments,both,,,,
90087,90087,City of Santa Maria,City of Santa Maria,Santa Maria Area Transit,SMAT,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Full Reporter,Santa Maria,298,542005,"Santa Maria Area Transit,Santa Maria Paratransit,The Breeze Bus",Santa Barbara County Association of Governments,both,,,,
90008,90008,City of Santa Monica,City of Santa Monica,Big Blue Bus,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Full Reporter,Santa Monica,300,719017,Big Blue Bus,Southern California Association of Governments,both,,,,
90017,90017,City of Santa Rosa,City of Santa Rosa,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Full Reporter,Santa Rosa,301,449002,"Santa Rosa CityBus,Santa Rosa Call Ahead Service",Metropolitan Transportation Commission,both,,,,
9R02-91120,9R02-91120,City of Shafter,City of Shafter,Shafter Dial-A-Ride,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Rural Reporter,Shafter,303,615008,Shafter Dial-A-Ride,Kern Council of Governments,both,,,,
A0003-99447,,City of Sierra Madre,City of Sierra Madre,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Asset Reporter,Sierra Madre,305,,"Sierra Madre Dial-A-Ride,Gateway Coach",Southern California Association of Governments,both,,,,
90050,90050,City of Simi Valley,City of Simi Valley,Simi Valley Transit,SVT,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Simi Valley,308,756006,"Simi Valley Transit,Simi Valley Paratransit / Dial-A-Ride",Southern California Association of Governments,both,,,,
9R02-91028,9R02-91028,City of Solvang,City of Solvang,,SYVT,Independent Public Agency or Authority of Transit Service,City/Town,,,Rural Reporter,Solvang,312,542012,"Santa Ynez Valley Transit,Santa Ynez Valley Dial-A-Ride",Santa Barbara County Association of Governments,both,,,,
A0003-99443,,City of South El Monte,City of South El Monte,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Asset Reporter,South El Monte,319,,South El Monte Transportation,Southern California Association of Governments,both,,,,
90291,90291,City of South Gate,City of South Gate,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,South Gate,320,,Get Around Town Express,Southern California Association of Governments,both,,,,
90292,90292,City of South Pasadena,City of South Pasadena,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,South Pasadena,321,,South Pasadena Dial-A-Ride,Southern California Association of Governments,both,,,,
9R02-91066,9R02-91066,City of Taft,City of Taft,Taft Area Transit,TAT,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Rural Reporter,Taft,330,615009,"Taft Area Transit,Taft Dial-A-Ride",Kern Council of Governments,both,,,,
9R02-91074,9R02-91078,City of Tehachapi,City of Tehachapi,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Rural Reporter,Tehachapi,333,,,,both,,,,
90165,90165,City of Thousand Oaks,City of Thousand Oaks,Thousand Oaks Transit,TOT,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Thousand Oaks,337,756007,"Thousand Oaks Transit,ECTA InterCity Dial-A-Ride,Kanan Shuttle",Southern California Association of Governments,both,,,,
90010,90010,City of Torrance,City of Torrance,Torrance Transit System ,TTS,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Full Reporter,Torrance,339,719019,Torrance Transit,Southern California Association of Governments,both,,,,
90197,90197,City of Tracy,City of Tracy,TRACER,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Tracy,341,1039009,"TRACER,TRACER Paratransit,TRACER Plus",San Joaquin Council of Governments,both,,,,
90244,90244,City of Tulare,City of Tulare,Tulare Intermodal Express,TIME,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Full Reporter,Tulare,483,,,,both,,,,
90201,90201,City of Turlock,City of Turlock,Turlock Transit,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Full Reporter,Turlock,349,1050004,"Turlock Transit,Turlock Transit Dial-A-Ride",Stanislaus Council of Governments,both,,,,
90161,90161,City of Union City,City of Union City,Union City Transit,UCT,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Union City,350,401005,"Union City Transit,Union City Paratransit",Metropolitan Transportation Commission,both,,,,
90155,90155,City of Vacaville,City of Vacaville,City Coach,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Vacaville,356,448005,"City Coach,City Coach Direct",Metropolitan Transportation Commission,both,,,,
90091,90091,City of Visalia  ,City of Visalia,Visalia Transit,VT,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Full Reporter,Visalia,361,654006,"V-LINE,Visalia Transit,Visalia Dial-A-Ride",Tulare County Association of Governments,both,,,,
90293,90293,City of West Covina,City of West Covina,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,West Covina,366,,"Go West Shuttle,Go West Dial-A-Ride Service",Southern California Association of Governments,both,,,,
90294,90294,City of West Hollywood,City of West Hollywood,,WEHO,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,West Hollywood,367,,"WeHo Shuttles,Cityline",Southern California Association of Governments,both,,,,
