Name,Services,GTFS Dataset,Dataset Type,Category,agency_id,network_id,Service Type (from Services),Provider,Operator,Dataset Producers (from GTFS Dataset),Dataset Publisher (from GTFS Dataset),GTFS Dataset Type,Pathways Status,Fares v2 Status,Flex Status,Schedule Comments (from GTFS Dataset),ITP Activities (from GTFS Dataset),ITP Schedule TODO (from GTFS Dataset),Fares Notes (from GTFS Dataset),route_id,Reference Static GTFS Service,URI,Currently Operating (from Services),Provider Reporting Category,Reference Static Feed
Sonoma County Transit – Bay Area 511 Schedule,Sonoma County Transit,Bay Area 511 Schedule,GTFS Schedule,primary,SO,,fixed-route,Sonoma County,Sonoma County,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,,,,,MTC,*,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
County Connection – Bay Area 511 Schedule,County Connection,Bay Area 511 Schedule,GTFS Schedule,primary,CC,,fixed-route,Contra Costa County Transportation Authority,Contra Costa County Transportation Authority,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,,,,,MTC,,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
Santa Rosa CityBus – Bay Area 511 Schedule,Santa Rosa CityBus,Bay Area 511 Schedule,GTFS Schedule,primary,SR,,"fixed-route,deviated fixed-route",City of Santa Rosa,City of Santa Rosa,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,Published - Needs Flex Additions,,,,MTC,,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
SolTrans – Bay Area 511 Schedule,SolTrans,Bay Area 511 Schedule,GTFS Schedule,primary,ST,,fixed-route,Solano County Transit,Solano County Transit,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,,,,,MTC,,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
SFO AirTrain – Bay Area 511 Schedule,SFO AirTrain,Bay Area 511 Schedule,GTFS Schedule,primary,SI,,fixed-route,San Francisco International Airport,San Francisco International Airport,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,,,,,MTC,,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Other Public Transit,
Vine Transit – Bay Area 511 Schedule,Vine Transit,Bay Area 511 Schedule,GTFS Schedule,primary,VN,,fixed-route,Napa Valley Transportation Authority,Napa Valley Transportation Authority,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,,,,,MTC,*,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
Golden Gate Transit – Bay Area 511 Schedule,Golden Gate Transit,Bay Area 511 Schedule,GTFS Schedule,primary,GG,,fixed-route,"""Golden Gate Bridge, Highway and Transportation District""","""Golden Gate Bridge, Highway and Transportation District""",Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,,,,,MTC,,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
SamTrans – Bay Area 511 Schedule,SamTrans,Bay Area 511 Schedule,GTFS Schedule,primary,SM,,fixed-route,San Mateo County Transit District,San Mateo County Transit District,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,,,,,MTC,*,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
Union City Transit – Bay Area 511 Schedule,Union City Transit,Bay Area 511 Schedule,GTFS Schedule,primary,UC,,fixed-route,City of Union City,City of Union City,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,,,,,MTC,,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
San Francisco Bay Ferry – Bay Area 511 Schedule,San Francisco Bay Ferry,Bay Area 511 Schedule,GTFS Schedule,primary,SB,,fixed-route,San Francisco Bay Area Water Emergency Transit Authority,San Francisco Bay Area Water Emergency Transit Authority,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,,,,,MTC,,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
Petaluma Transit – Bay Area 511 Schedule,Petaluma Transit,Bay Area 511 Schedule,GTFS Schedule,primary,PE,,fixed-route,City of Petaluma,City of Petaluma,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,,,,,MTC,,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
Tri-Valley Wheels – Bay Area 511 Schedule,Tri-Valley Wheels,Bay Area 511 Schedule,GTFS Schedule,primary,WH,,fixed-route,"""Livermore / Amador
  Valley Transit Authority""","""Livermore / Amador
  Valley Transit Authority""",Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,,,,,MTC,,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
Fairfield and Suisun Transit – Bay Area 511 Schedule,Fairfield and Suisun Transit,Bay Area 511 Schedule,GTFS Schedule,primary,FS,,fixed-route,City of Fairfield,City of Fairfield,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,,,,,MTC,,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
Commute.org Shuttles – Bay Area 511 Schedule,Commute.org Shuttles,Bay Area 511 Schedule,GTFS Schedule,primary,CM,,fixed-route,Commute.org,Commute.org,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,,,,,MTC,,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Other Public Transit,
Muni Bus – Bay Area 511 Schedule,Muni Bus,Bay Area 511 Schedule,GTFS Schedule,primary,SF,,fixed-route,City and County of San Francisco,City and County of San Francisco,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,,,,,MTC,*,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
VTA Light Rail – Bay Area 511 Schedule,VTA Light Rail,Bay Area 511 Schedule,GTFS Schedule,primary,SC,,fixed-route,Santa Clara Valley Transportation Authority,Santa Clara Valley Transportation Authority,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,,,,,MTC,"SC:Green Line,SC:Blue Line,SC:Orange Line",,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
Marin Transit – Bay Area 511 Schedule,Marin Transit,Bay Area 511 Schedule,GTFS Schedule,primary,MA,,fixed-route,Marin County Transit District,Marin County Transit District,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,,,,,MTC,,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
Golden Gate Ferry – Bay Area 511 Schedule,Golden Gate Ferry,Bay Area 511 Schedule,GTFS Schedule,primary,GF,,fixed-route,"""Golden Gate Bridge, Highway and Transportation District""","""Golden Gate Bridge, Highway and Transportation District""",Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,,,,,MTC,,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
Tri Delta Transit – Bay Area 511 Schedule,Tri Delta Transit,Bay Area 511 Schedule,GTFS Schedule,primary,3D,,fixed-route,Eastern Contra Costa Transit Authority,First Transit,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,,,,,MTC,,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
SJRTD Local – San Joaquin Schedule,SJRTD Local,San Joaquin Schedule,GTFS Schedule,primary,,,fixed-route,San Joaquin Regional Transit District,San Joaquin Regional Transit District,San Joaquin Regional Transit District,San Joaquin Regional Transit District,GTFS Schedule,NA,Provider to Publish,,,,,Agreed to push this out themselves.,*,,http://sanjoaquinrtd.com/RTD-GTFS/RTD-GTFS.zip,1 checked out of 1,Core,
Modesto Area Express – StaRTA Schedule,Modesto Area Express,StaRTA Schedule,GTFS Schedule,primary,,,fixed-route,Stanislaus Regional Transit Authority,Stanislaus Regional Transit Authority,Stanislaus Regional Transit Authority,,GTFS Schedule,,Needed,,,,,,,,https://www.stanrta.org/DocumentCenter/View/609/preview-gtfs.zip,1 checked out of 1,Core,
Santa Barbara Metropolitan Transit District – SBMTD Schedule,Santa Barbara Metropolitan Transit District,SBMTD Schedule,GTFS Schedule,primary,,,fixed-route,Santa Barbara Metropolitan Transit District,Santa Barbara Metropolitan Transit District,Santa Barbara Metropolitan Transit District,,GTFS Schedule,NA,Provider published,,,,,"We gave this data directly to the agency, who published it.",,,http://sbmtd.gov/google_transit/feed.zip,1 checked out of 1,Core,
Gold Coast Transit – VCTC Schedule,Gold Coast Transit,VCTC Schedule,GTFS Schedule,primary,139,,fixed-route,Gold Coast Transit,Gold Coast Transit,"Ventura County Transportation Commission,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/vctc-ca-us/vctc-ca-us.zip,1 checked out of 1,Core,
Thousand Oaks Transit – VCTC Schedule,Thousand Oaks Transit,VCTC Schedule,GTFS Schedule,primary,142,,fixed-route,City of Thousand Oaks,City of Thousand Oaks,"Ventura County Transportation Commission,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/vctc-ca-us/vctc-ca-us.zip,1 checked out of 1,Core,
VCTC Intercity – VCTC Schedule,VCTC Intercity,VCTC Schedule,GTFS Schedule,primary,143,,fixed-route,Ventura County Transportation Commission,Ventura County Transportation Commission,"Ventura County Transportation Commission,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/vctc-ca-us/vctc-ca-us.zip,1 checked out of 1,Core,
Kanan Shuttle – VCTC Schedule,Kanan Shuttle,VCTC Schedule,GTFS Schedule,primary,144,,fixed-route,City of Thousand Oaks,City of Thousand Oaks,"Ventura County Transportation Commission,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/vctc-ca-us/vctc-ca-us.zip,1 checked out of 1,Core,
Moorpark City Transit – VCTC Schedule,Moorpark City Transit,VCTC Schedule,GTFS Schedule,primary,147,,fixed-route,City of Moorpark,City of Moorpark,"Ventura County Transportation Commission,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/vctc-ca-us/vctc-ca-us.zip,1 checked out of 1,Core,
Ojai Trolley – VCTC Schedule,Ojai Trolley,VCTC Schedule,GTFS Schedule,primary,148,,fixed-route,City of Ojai,City of Ojai,"Ventura County Transportation Commission,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/vctc-ca-us/vctc-ca-us.zip,1 checked out of 1,Core,
Valley Express – VCTC Schedule,Valley Express,VCTC Schedule,GTFS Schedule,primary,149,,fixed-route,Ventura County Transportation Commission,Ventura County Transportation Commission,"Ventura County Transportation Commission,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/vctc-ca-us/vctc-ca-us.zip,1 checked out of 1,Core,
Simi Valley Transit – VCTC Schedule,Simi Valley Transit,VCTC Schedule,GTFS Schedule,primary,152,,fixed-route,City of Simi Valley,City of Simi Valley,"Ventura County Transportation Commission,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/vctc-ca-us/vctc-ca-us.zip,1 checked out of 1,Core,
Long Beach Transit – Long Beach Schedule,Long Beach Transit,Long Beach Schedule,GTFS Schedule,primary,,,fixed-route,Long Beach Transit,Long Beach Transit,Long Beach Transit,Long Beach Transit,GTFS Schedule,NA,Provider to Publish,,,,,"Is interested, but asked for us to engage them in November. Ruth sent them their completed data in advance.",,,https://lbtransit.box.com/shared/static/aoyeskwmsa9g7pyg78q3xuioi0lgqe4f.zip,1 checked out of 1,Core,
Kern Transit – Kern Schedule,Kern Transit,Kern Schedule,GTFS Schedule,primary,194,,fixed-route,Kern County,Kern County,"Kern County,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/kerncounty-ca-us/kerncounty-ca-us.zip,1 checked out of 1,Core,
Solano Express – Bay Area 511 Schedule,Solano Express,Bay Area 511 Schedule,GTFS Schedule,primary,VN,,fixed-route,"City of Fairfield,Solano County Transit","Solano County Transit,City of Fairfield",Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Needs GTFS Schedule,,,,,MTC,VN:21,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,"Core,Core",
Clean Air Express – Clean Air Express Schedule,Clean Air Express,Clean Air Express Schedule,GTFS Schedule,primary,,,fixed-route,Santa Barbara County Association of Governments,Santa Barbara County Association of Governments,Santa Barbara County Association of Governments,,GTFS Schedule,NA,Provider published,,,,,"We gave this data directly to the agency, who published it.",,,https://cleanairexpress.com/gtfs/gtfs.zip,1 checked out of 1,Core,
Clovis Transit Stageline – Clovis Schedule,Clovis Transit Stageline,Clovis Schedule,GTFS Schedule,primary,,,fixed-route,City of Clovis,City of Clovis,"City of Clovis,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Unknown,,,,,,,,http://data.trilliumtransit.com/gtfs/clovistransit-ca-us/clovistransit-ca-us.zip,1 checked out of 1,Other Public Transit,
Commerce Municipal Bus Lines – Commerce Schedule,Commerce Municipal Bus Lines,Commerce Schedule,GTFS Schedule,primary,,,fixed-route,City of Commerce,City of Commerce,"City of Commerce,GMV Syncromatics Inc",City of Commerce,GTFS Schedule,NA,Blocked - Vendor,,,,,GMV is willing to facilitate in 2022. Ruth reached out directly to joyce.rooney@redondo.org to learn if it's possible to introduce this data post-GMV in their pipeline.,,,https://citycommbus.com/gtfs,1 checked out of 1,Core,
Compton Renaissance Transit Service – Compton Schedule,Compton Renaissance Transit Service,Compton Schedule,GTFS Schedule,primary,,,fixed-route,City of Compton,MV Transportation,Los Angeles County Metropolitan Transportation Authority,Los Angeles County Metropolitan Transportation Authority,GTFS Schedule,NA,Needs GTFS Schedule,,,GTFS Schedule Creation,Get into google,,,,https://github.com/LACMTA/los-angeles-regional-gtfs/raw/main/compton-ca-us/compton-ca-us.zip,1 checked out of 1,Core,
Corona Cruiser – Corona Schedule,Corona Cruiser,Corona Schedule,GTFS Schedule,primary,,,fixed-route,City of Corona,City of Corona,"City of Corona,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/corona-ca-us/corona-ca-us.zip,1 checked out of 1,Core,
County Express – County Express Schedule,County Express,County Express Schedule,GTFS Schedule,primary,,,fixed-route,San Benito County Local Transportation Authority,San Benito County Local Transportation Authority,"San Benito County Local Transportation Authority,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Unknown,,,,,,,,http://data.trilliumtransit.com/gtfs/sanbenitocounty-ca-us/sanbenitocounty-ca-us.zip,1 checked out of 1,Core,
Cudahy Area Rapid Transit – Cudahy Schedule,Cudahy Area Rapid Transit,Cudahy Schedule,GTFS Schedule,primary,,,deviated fixed-route,City of Cudahy,City of Cudahy,Los Angeles County Metropolitan Transportation Authority,Los Angeles County Metropolitan Transportation Authority,GTFS Schedule,NA,Needs GTFS Schedule,,,GTFS Schedule Creation,Get into google,,,,https://github.com/LACMTA/los-angeles-regional-gtfs/raw/main/cudahy-ca-us/cudahy-ca-us.zip,1 checked out of 1,Core,
Culver CityBus – Culver City Schedule,Culver CityBus,Culver City Schedule,GTFS Schedule,primary,,,fixed-route,City of Culver City,City of Culver City,City of Culver City,City of Culver City,GTFS Schedule,NA,Unknown,,,,,Ruth emailed diana.chang@culvercity.org in October,,,https://www.culvercity.org/files/assets/public/documents/information-technology/maps/gtfsexport.zip,1 checked out of 1,Core,
Delano Area Rapid Transit – Delano Schedule,Delano Area Rapid Transit,Delano Schedule,GTFS Schedule,primary,,,fixed-route,City of Delano,City of Delano,"City of Delano,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,,,https://data.trilliumtransit.com/gtfs/delano-ca-us/delano-ca-us.zip,1 checked out of 1,Core,
Desert Roadrunner – Desert Roadrunner Schedule,Desert Roadrunner,Desert Roadrunner Schedule,GTFS Schedule,primary,,,deviated fixed-route,Palo Verde Valley Transit Agency,Palo Verde Valley Transit Agency,"Trillium Inc.,Palo Verde Valley Transit Agency",Trillium Inc.,GTFS Schedule,NA,Vendor published,Trillium - To code,,,,AKA Palos Verde Vally. Published by Trillium.,,,http://data.trilliumtransit.com/gtfs/paloverde_valley-ca-us/paloverde_valley-ca-us.zip,1 checked out of 1,Other Public Transit,
Dinuba Area Regional Transit – TCRTA Schedule,Dinuba Area Regional Transit,TCRTA Schedule,GTFS Schedule,primary,,,"deviated fixed-route,ADA paratransit",Tulare County Regional Transit Agency,Tulare County Regional Transit Agency,Tulare County Regional Transit Agency,"Tulare County Regional Transit Agency,Tulare County Association of Governments",GTFS Schedule,,Vendor published,Needed - Existing GTFS,,,,,"D1,D1A,D1B,D2,D2A,D2B,D3,D3A,D3B,D4,D4A,D4B",,https://tularecog.org/tcag/data-gis-modeling/gtfs-data/tulare-county-regional-transit-agency-tcrta-gtfs,1 checked out of 1,Core,
DowneyLINK – DownyLINK Schedule,DowneyLINK,DownyLINK Schedule,GTFS Schedule,primary,,,fixed-route,City of Downey,MV Transportation,Los Angeles County Metropolitan Transportation Authority,Los Angeles County Metropolitan Transportation Authority,GTFS Schedule,NA,Needs GTFS Schedule,,,GTFS Schedule Creation,Get into google,,,,https://github.com/LACMTA/los-angeles-regional-gtfs/raw/main/downey-ca-us/downey-ca-us.zip,1 checked out of 1,Core,
Duarte Transit – Duarte Schedule,Duarte Transit,Duarte Schedule,GTFS Schedule,primary,,,,City of Duarte,City of Duarte,"City of Duarte,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,NA,,,,,,,,http://data.trilliumtransit.com/gtfs/duartetransit-ca-us/duartetransit-ca-us.zip,0 checked out of 1,Core,
Eastern Sierra Transit Authority Community Routes – Eastern Sierra Schedule,Eastern Sierra Transit Authority Community Routes,Eastern Sierra Schedule,GTFS Schedule,primary,,,"on-demand,reservations,deviated fixed-route,fixed-route",Eastern Sierra Transit Authority,Eastern Sierra Transit Authority,"Eastern Sierra Transit Authority,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,Needed - Existing GTFS,,,,Published by Trillium,"565,566,567",,http://data.trilliumtransit.com/gtfs/easternsierra-ca-us/easternsierra-ca-us.zip,1 checked out of 1,Core,
El Dorado Transit – El Dorado Schedule,El Dorado Transit,El Dorado Schedule,GTFS Schedule,primary,,*,fixed-route,El Dorado County Transit Authority,El Dorado County Transit Authority,"El Dorado County Transit Authority,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/eldoradotransit-ca-us/eldoradotransit-ca-us.zip,1 checked out of 1,Core,
El Monte Commuter Shuttles – El Monte Schedule,El Monte Commuter Shuttles,El Monte Schedule,GTFS Schedule,primary,,,fixed-route,City of El Monte,City of El Monte,"Trillium Inc.,City of El Monte",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,"6810,6811",,http://data.trilliumtransit.com/gtfs/elmonte-ca-us/elmonte-ca-us.zip,1 checked out of 1,Core,
Folsom Stage Line – Folsom Stage Schedule,Folsom Stage Line,Folsom Stage Schedule,GTFS Schedule,primary,,,fixed-route,Sacramento Regional Transit District,Sacramento Regional Transit District,,Sacramento Regional Transit District,GTFS Schedule,NA,Provider to Publish,,,,,Part of the regional data SacRT agreed to publish in October,,,http://iportal.sacrt.com/gtfs/FSL/google_transit.zip,1 checked out of 1,Core,
Foothill Transit – Foothill Schedule,Foothill Transit,Foothill Schedule,GTFS Schedule,primary,,,fixed-route,Foothill Transit,Foothill Transit,Foothill Transit,Foothill Transit,GTFS Schedule,NA,Unknown,,,,,Ruth emailed dbarnes@foothilltransit.org in October,,,https://foothilltransit.rideralerts.com/myStop/GTFS-Zip.ashx,1 checked out of 1,Core,
