Name,ITP ID,Reporting Category,Caltrans District,GTFS Static Status,GTFS Realtime Status,Missing Static,Services Needing Alerts,Services Needing TripUpdates or VehiclePositions,Immediate GTFS Goals
City of Avalon,24,Core,07 - Los Angeles,Static OK,RT OK,,"Avalon Dial-A-Ride, Avalon Access","Avalon Dial-A-Ride, Avalon Access","3 - GTFS data has zero validation errors,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings"
Long Beach Transit,170,Core,07 - Los Angeles,Static Incomplete,RT Incomplete,AquaLink,"Galaxy Express, AquaLink, Long Beach Dial-A-Lift","Galaxy Express, AquaLink, Long Beach Dial-A-Lift","2 - GTFS data has active service,0 - Does not have GTFS Schedule,2 - GTFS data has active service,4 - GTFS data has zero validation warnings"
City of Simi Valley,308,Core,07 - Los Angeles,Static OK,RT OK,,Simi Valley Paratransit / Dial-A-Ride,Simi Valley Paratransit / Dial-A-Ride,"4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings"
City of Downey,95,Core,07 - Los Angeles,Static OK,RT Incomplete,,"DowneyLINK, Downy Dial-A-Ride","DowneyLINK, Downy Dial-A-Ride","4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings"
City of Baldwin Park,29,Core,07 - Los Angeles,Static OK,RT Incomplete,,"Baldwin Park Transit, Baldwin Park Transit Dial-A-Ride","Baldwin Park Transit, Baldwin Park Transit Dial-A-Ride","4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings"
City of Calabasas,49,Core,07 - Los Angeles,Static OK,RT Incomplete,,"Calabasas Shuttle, Calabasas Trolley, Calabasas Dial-A-Ride","Calabasas Shuttle, Calabasas Trolley, Calabasas Dial-A-Ride","3 - GTFS data has zero validation errors,3 - GTFS data has zero validation errors,4 - GTFS data has zero validation warnings"
City of Culver City,87,Core,07 - Los Angeles,Static OK,RT Incomplete,,"Culver CityBus, Culver City Dial-A-Ride, Culver City Taxi Coupons","Culver CityBus, Culver City Dial-A-Ride, Culver City Taxi Coupons","2 - GTFS data has active service,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings"
City of Burbank,45,Core,07 - Los Angeles,Static OK,RT OK,,Burbank Bus Senior and Disabled,Burbank Bus Senior and Disabled,"2 - GTFS data has active service,4 - GTFS data has zero validation warnings"
Southern California Regional Rail Authority,323,Core,07 - Los Angeles,Static OK,RT Incomplete,,Metrolink,Metrolink,3 - GTFS data has zero validation errors
City of Glendora,121,Core,07 - Los Angeles,Static OK,RT Incomplete,,"Glendora Shuttles, Glendora Dial-A-Ride","Glendora Shuttles, Glendora Dial-A-Ride","3 - GTFS data has zero validation errors,4 - GTFS data has zero validation warnings"
City of Redondo Beach,260,Core,07 - Los Angeles,Static OK,RT OK,,WAVE Dial-A-Ride,WAVE Dial-A-Ride,"4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings"
City of Monterey Park,207,Core,07 - Los Angeles,Static OK,RT Incomplete,,"Monterey Park Dial-a-Ride, Spirit Bus","Monterey Park Dial-a-Ride, Spirit Bus","4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings"
City of Commerce,75,Core,07 - Los Angeles,Static OK,RT OK,,Commerce Dial-A-Ride,Commerce Dial-A-Ride,"2 - GTFS data has active service,4 - GTFS data has zero validation warnings"
City of Bell,35,Core,07 - Los Angeles,Static OK,RT Incomplete,,"La Campana, Bell Dial-A-Ride","La Campana, Bell Dial-A-Ride","4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings"
City of Arcadia,17,Core,07 - Los Angeles,Static OK,RT Incomplete,,"Arcadia Transit, Arcadia Transit Dial-A-Ride","Arcadia Transit, Arcadia Transit Dial-A-Ride","4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings"
City of Ojai,231,Core,07 - Los Angeles,Static OK,RT OK,,,,2 - GTFS data has active service
City of Montebello,206,Core,07 - Los Angeles,Static OK,RT Incomplete,Montebello Link,"Montebello Bus Lines, Montebello Link, Montebello Dial-A-Taxi","Montebello Bus Lines, Montebello Link, Montebello Dial-A-Taxi","0 - Does not have GTFS Schedule,0 - Does not have GTFS Schedule,4 - GTFS data has zero validation warnings"
City of Moorpark,210,Core,07 - Los Angeles,Static OK,RT OK,,Moorpark Dial-A-Ride,Moorpark Dial-A-Ride,"4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings"
Los Angeles County,179,Core,07 - Los Angeles,Static OK,RT Incomplete,,"the Link Willowbrook, the Link Lennox, the Link-Athens, the Link Florence-Firestone/Walnut Park, the Link King Medical Center, Topanga Beach Bus, Acton and Agua Dulce Shuttle, Avocado Heights/Bassett/West Valinda Shuttle, East Valinda Shuttle, Edmund D. Edelman Children’s Court Shuttle, Heights Hopper Shuttle, the Link-Baldwin Hills Parklands, El Sol Shuttle, Los Angeles County Wellness Center Shuttle, Sunshine Shuttle, Willowbrook Demand Response","the Link Willowbrook, the Link Lennox, the Link-Athens, the Link Florence-Firestone/Walnut Park, the Link King Medical Center, Topanga Beach Bus, Acton and Agua Dulce Shuttle, Avocado Heights/Bassett/West Valinda Shuttle, East Valinda Shuttle, Edmund D. Edelman Children’s Court Shuttle, Heights Hopper Shuttle, the Link-Baldwin Hills Parklands, El Sol Shuttle, Los Angeles County Wellness Center Shuttle, Sunshine Shuttle, Willowbrook Demand Response","4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings,0 - Does not have GTFS Schedule,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings"
City of Maywood,196,Core,07 - Los Angeles,Static Incomplete,RT Incomplete,Maywood Express Shuttle,"Maywood Dial-A-Ride, Maywood Express Shuttle","Maywood Dial-A-Ride, Maywood Express Shuttle",0 - Does not have GTFS Schedule
City of Cerritos,63,Core,07 - Los Angeles,Static Incomplete,RT Incomplete,Cerritos on Wheels,"Cerritos on Wheels, Cerritos Dial-A-Ride","Cerritos on Wheels, Cerritos Dial-A-Ride",0 - Does not have GTFS Schedule
Antelope Valley Transit Authority,16,Core,07 - Los Angeles,Static OK,RT Incomplete,,"Antelope Valley Dial-A-Ride, Antelope Valley Transportation Authority","Antelope Valley Dial-A-Ride, Antelope Valley Transportation Authority","4 - GTFS data has zero validation warnings,2 - GTFS data has active service"
City of La Puente,152,Other Public Transit,07 - Los Angeles,Static OK,RT Incomplete,,"La Puente Link, La Puente Dial-A-Ride","La Puente Link, La Puente Dial-A-Ride",4 - GTFS data has zero validation warnings
City of Artesia,20,Core,07 - Los Angeles,Static Incomplete,RT Incomplete,Artesia Transit,"Artesia Express Dial-A-Ride, Artesia Transit","Artesia Express Dial-A-Ride, Artesia Transit","0 - Does not have GTFS Schedule,0 - Does not have GTFS Schedule"
City of Lynwood,186,Core,07 - Los Angeles,Static OK,RT Incomplete,,Lynwood Breeze,Lynwood Breeze,1 - Has URL for GTFS downloading
City of West Hollywood,367,Core,07 - Los Angeles,Static Incomplete,RT Incomplete,"WeHo Shuttles, Cityline","WeHo Shuttles, West Hollywood On Call Transportation, West Hollywood Dial-A-Ride, Cityline","WeHo Shuttles, West Hollywood On Call Transportation, West Hollywood Dial-A-Ride, Cityline","0 - Does not have GTFS Schedule,0 - Does not have GTFS Schedule"
City of Beverly Hills,39,Core,07 - Los Angeles,Static Incomplete,RT Incomplete,Beverly Hills Trolley,"Beverly Hills Trolley, Beverly Hills Dial-A-Ride, Beverly Hills Senior and Disabled On-Demand","Beverly Hills Trolley, Beverly Hills Dial-A-Ride, Beverly Hills Senior and Disabled On-Demand",0 - Does not have GTFS Schedule
City of El Segundo,103,Other Public Transit,07 - Los Angeles,Static OK,RT Incomplete,,"El Segundo Dial-A-Ride, El Segundo Doctor Dial-A-Ride, El Segundo Lunchtime Shuttle, El Segundo Beach Shuttle","El Segundo Dial-A-Ride, El Segundo Doctor Dial-A-Ride, El Segundo Lunchtime Shuttle, El Segundo Beach Shuttle","4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings"
City of Sierra Madre,305,Other Public Transit,07 - Los Angeles,Static OK,RT Incomplete,,"Sierra Madre Dial-A-Ride, Gateway Coach","Sierra Madre Dial-A-Ride, Gateway Coach","4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings"
City of Inglewood,139,Core,07 - Los Angeles,Static Incomplete,RT Incomplete,I-Line Shuttle,"Inglewood, Hawthorn and Lennox Para-Transit, Inglewood Taxi Voucher Program, Inglewood Senior Van, I-Line Shuttle","Inglewood, Hawthorn and Lennox Para-Transit, Inglewood Taxi Voucher Program, Inglewood Senior Van, I-Line Shuttle","0 - Does not have GTFS Schedule,0 - Does not have GTFS Schedule"
City of El Monte,102,Core,07 - Los Angeles,Static OK,RT Incomplete,,"El Monte Dial-A-Ride, El Monte Transit, El Monte Commuter Shuttles","El Monte Dial-A-Ride, El Monte Transit, El Monte Commuter Shuttles","4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings"
City of South Gate,320,Core,07 - Los Angeles,Static OK,RT Incomplete,,"Get Around Town Express, South Gate Phone-A-Ride","Get Around Town Express, South Gate Phone-A-Ride","4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings"
"University of California, Los Angeles",,Other Public Transit,07 - Los Angeles,Static Incomplete,RT Incomplete,"BruinBus, Rooter Bus","BruinBus, Rooter Bus, BruinAccess","BruinBus, Rooter Bus, BruinAccess","0 - Does not have GTFS Schedule,0 - Does not have GTFS Schedule"
California State University Long Beach,,Other Public Transit,07 - Los Angeles,Static Incomplete,RT Incomplete,CSULB Shuttles,CSULB Shuttles,CSULB Shuttles,0 - Does not have GTFS Schedule
California State University Northridge,,Other Public Transit,07 - Los Angeles,Static Incomplete,RT Incomplete,CSUN Campus Shuttles,CSUN Campus Shuttles,CSUN Campus Shuttles,0 - Does not have GTFS Schedule
Rio Hondo College,,Other Public Transit,07 - Los Angeles,Static Incomplete,RT Incomplete,Rio Hondo College TRAM,Rio Hondo College TRAM,Rio Hondo College TRAM,0 - Does not have GTFS Schedule
Alameda-Contra Costa Transit District,4,Core,04 - Oakland,Static OK,RT OK,,East Bay Paratransit,East Bay Paratransit,"2 - GTFS data has active service,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings,2 - GTFS data has active service,2 - GTFS data has active service"
Solano County Transit,310,Core,04 - Oakland,Static OK,RT OK,,SolTrans ADA Paratransit,SolTrans ADA Paratransit,"3 - GTFS data has zero validation errors,4 - GTFS data has zero validation warnings,3 - GTFS data has zero validation errors"
Menlo Park Shuttles,199,Other Public Transit,04 - Oakland,Static OK,RT Incomplete,,Menlo Park Shuttles,Menlo Park Shuttles,3 - GTFS data has zero validation errors
"University of California, Berkeley",33,Other Public Transit,04 - Oakland,Static OK,RT Incomplete,,"Bear Transit, The Loop","Bear Transit, The Loop",1 - Has URL for GTFS downloading
Sonoma County,314,Core,04 - Oakland,Static OK,RT OK,,Sonoma County Paratransit,Sonoma County Paratransit,"3 - GTFS data has zero validation errors,2 - GTFS data has active service,4 - GTFS data has zero validation warnings"
California State University East Bay,52,Other Public Transit,04 - Oakland,Static Incomplete,RT Incomplete,CSUEB Hill Hopper Shuttle,CSUEB Hill Hopper Shuttle,CSUEB Hill Hopper Shuttle,0 - Does not have GTFS Schedule
City of Petaluma,247,Core,04 - Oakland,Static OK,RT OK,,Petaluma Paratransit,Petaluma Paratransit,"2 - GTFS data has active service,4 - GTFS data has zero validation warnings"
Sonoma-Marin Area Rail Transit District,315,Core,04 - Oakland,Static OK,RT OK,,,,2 - GTFS data has active service
City of Santa Rosa,301,Core,04 - Oakland,Static OK,RT OK,,"Santa Rosa Call Ahead Service, Santa Rosa Paratransit","Santa Rosa Call Ahead Service, Santa Rosa Paratransit","2 - GTFS data has active service,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings"
Capitol Corridor Joint Powers Authority,56,Other Public Transit,04 - Oakland,Static OK,RT Incomplete,,Capitol Corridor,Capitol Corridor,2 - GTFS data has active service
San Mateo County Transit District,290,Core,04 - Oakland,Static Incomplete,RT Incomplete,"Bayshore Brisbane Senior Shuttle, SamTrans Shuttles, Bayhill San Bruno Shuttle","Redi-Wheels, RediCoast, Bayshore Brisbane Senior Shuttle, SamTrans Shuttles, SamCoast, Bayhill San Bruno Shuttle","Redi-Wheels, RediCoast, Bayshore Brisbane Senior Shuttle, SamTrans Shuttles, SamCoast, Bayhill San Bruno Shuttle","4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings,0 - Does not have GTFS Schedule,0 - Does not have GTFS Schedule,4 - GTFS data has zero validation warnings,2 - GTFS data has active service,0 - Does not have GTFS Schedule"
"Livermore / Amador
  Valley Transit Authority",167,Core,04 - Oakland,Static Incomplete,RT Incomplete,Wheels School,"Tri-Valley Wheels Paratransit, Wheels School","Tri-Valley Wheels Paratransit, Wheels School","2 - GTFS data has active service,0 - Does not have GTFS Schedule"
Santa Clara Valley Transportation Authority,294,Core,04 - Oakland,Static OK,RT OK,,VTA ACCESS,VTA ACCESS,"2 - GTFS data has active service,2 - GTFS data has active service,2 - GTFS data has active service,2 - GTFS data has active service,2 - GTFS data has active service,2 - GTFS data has active service,4 - GTFS data has zero validation warnings,2 - GTFS data has active service"
Eastern Contra Costa Transit Authority,336,Core,04 - Oakland,Static OK,RT OK,,"Go Tri-Valley, Tri Delta Transit Paratransit","Go Tri-Valley, Tri Delta Transit Paratransit","3 - GTFS data has zero validation errors,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings"
Western Contra Costa Transit Authority,368,Core,04 - Oakland,Static OK,RT Incomplete,,"WestCAT Local, WestCAT Lynx Express, WestCAT Express Bus to BART, WestCAT Senior Dial-A-Ride, WestCAT ADA Paratransit","WestCAT Local, WestCAT Lynx Express, WestCAT Express Bus to BART, WestCAT Senior Dial-A-Ride, WestCAT ADA Paratransit","3 - GTFS data has zero validation errors,3 - GTFS data has zero validation errors,3 - GTFS data has zero validation errors,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings"
Marin County Transit District,194,Core,04 - Oakland,Static Incomplete,RT OK,Muir Woods Shuttle,"Marin Access Paratransit, Muir Woods Shuttle, Marin Transit Connect, Novato Dial-A-Ride, Dillon Beach/Tomales Dial-A-Ride, Point Reyes Dial-A-Ride, Marin Catch-A-Ride","Marin Access Paratransit, Muir Woods Shuttle, Marin Transit Connect, Novato Dial-A-Ride, Dillon Beach/Tomales Dial-A-Ride, Point Reyes Dial-A-Ride, Marin Catch-A-Ride","4 - GTFS data has zero validation warnings,2 - GTFS data has active service,0 - Does not have GTFS Schedule,4 - GTFS data has zero validation warnings,1 - Has URL for GTFS downloading,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings"
Peninsula Corridor Joint Powers Board,246,Core,04 - Oakland,Static Incomplete,RT Incomplete,Caltrain Shuttles,Caltrain Shuttles,Caltrain Shuttles,"2 - GTFS data has active service,0 - Does not have GTFS Schedule"
Napa Valley Transportation Authority,218,Core,04 - Oakland,Static OK,RT Incomplete,,"Calistoga Shuttle, Taxi Scrip, Vine Go, American Canyon Transit, City of Napa On-Demand","Calistoga Shuttle, Taxi Scrip, Vine Go, American Canyon Transit, City of Napa On-Demand","3 - GTFS data has zero validation errors,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings,2 - GTFS data has active service,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings"
City of Vacaville,356,Core,04 - Oakland,Static OK,RT Incomplete,,"City Coach, City Coach Direct","City Coach, City Coach Direct","4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings"
San Francisco International Airport,281,Other Public Transit,04 - Oakland,Static OK,RT Incomplete,,SFO AirTrain,SFO AirTrain,2 - GTFS data has active service
City and County of San Francisco,282,Core,04 - Oakland,Static OK,RT OK,,SF Access Van,SF Access Van,"2 - GTFS data has active service,4 - GTFS data has zero validation warnings,2 - GTFS data has active service,2 - GTFS data has active service,2 - GTFS data has active service"
Contra Costa County Transportation Authority,,Core,04 - Oakland,Static OK,RT OK,,LINK Paratransit,LINK Paratransit,"3 - GTFS data has zero validation errors,4 - GTFS data has zero validation warnings"
San Francisco Bay Area Water Emergency Transit Authority,280,Core,04 - Oakland,Static Incomplete,RT Incomplete,San Francisco Bay Ferry Giants Service,"San Francisco Bay Ferry, San Francisco Bay Ferry Giants Service","San Francisco Bay Ferry, San Francisco Bay Ferry Giants Service","2 - GTFS data has active service,0 - Does not have GTFS Schedule"
City of Union City,350,Core,04 - Oakland,Static OK,RT OK,,"Union City Paratransit, Union City Flea","Union City Paratransit, Union City Flea","2 - GTFS data has active service,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings"
"Golden Gate Bridge, Highway and Transportation District",127,Core,04 - Oakland,Static Incomplete,RT Incomplete,Golden Gate Oracle Park Ferry ,"Golden Gate Ferry, Golden Gate Transit Paratransit, Golden Gate Oracle Park Ferry , Golden Gate Chase Center Ferry","Golden Gate Ferry, Golden Gate Transit Paratransit, Golden Gate Oracle Park Ferry , Golden Gate Chase Center Ferry","3 - GTFS data has zero validation errors,3 - GTFS data has zero validation errors,4 - GTFS data has zero validation warnings,0 - Does not have GTFS Schedule,0 - Does not have GTFS Schedule"
San Francisco Bay Area Rapid Transit District,279,Core,04 - Oakland,Static OK,RT Incomplete,,East Bay Paratransit,"Bay Area Rapid Transit, East Bay Paratransit","4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings"
City of Fairfield,110,Core,04 - Oakland,Static OK,RT OK,,DART Paratransit,DART Paratransit,"2 - GTFS data has active service,4 - GTFS data has zero validation warnings,3 - GTFS data has zero validation errors"
West Berkeley Transportation Management Agency,365,Other Public Transit,04 - Oakland,Static OK,RT Incomplete,,West Berkeley Shuttle,West Berkeley Shuttle,1 - Has URL for GTFS downloading
Commute.org,76,Other Public Transit,04 - Oakland,Static OK,RT Incomplete,,Commute.org Shuttles,Commute.org Shuttles,3 - GTFS data has zero validation errors
San Leandro Transportation Management Organization,286,Other Public Transit,04 - Oakland,Static Incomplete,RT Incomplete,San Leandro LINKS,San Leandro LINKS,San Leandro LINKS,0 - Does not have GTFS Schedule
Lawrence Berkeley National Laboratory,38,Other Public Transit,04 - Oakland,Static Incomplete,RT Incomplete,Berkeley Lab Shuttle Bus,Berkeley Lab Shuttle Bus,Berkeley Lab Shuttle Bus,0 - Does not have GTFS Schedule
City of South San Francisco,481,Other Public Transit,04 - Oakland,Static OK,RT Incomplete,,Free South City Shuttle,Free South City Shuttle,2 - GTFS data has active service
City of Alameda,412,Other Public Transit,04 - Oakland,Static Incomplete,RT Incomplete,Alameda Loop Shuttle,Alameda Loop Shuttle,Alameda Loop Shuttle,0 - Does not have GTFS Schedule
Walmart Inc.,,Other Public Transit,04 - Oakland,Static Incomplete,RT Incomplete,Bayhill San Bruno Shuttle,Bayhill San Bruno Shuttle,Bayhill San Bruno Shuttle,0 - Does not have GTFS Schedule
Mountain View Transportation Management Association,216,Other Public Transit,04 - Oakland,Static Incomplete,RT Incomplete,Mountain View Community Shuttle,Mountain View Community Shuttle,Mountain View Community Shuttle,"0 - Does not have GTFS Schedule,2 - GTFS data has active service"
"University of California, San Francisco",,Other Public Transit,04 - Oakland,Static Incomplete,RT Incomplete,UCSF Shuttles,"UCSF Shuttles, Mission Bay Jitney","UCSF Shuttles, Mission Bay Jitney","0 - Does not have GTFS Schedule,0 - Does not have GTFS Schedule"
Amador Regional Transit System,11,Core,10 - Stockton,Static OK,RT Incomplete,,"Amador Transit, Amador Transit Dial-A-Ride","Amador Transit, Amador Transit Dial-A-Ride","3 - GTFS data has zero validation errors,4 - GTFS data has zero validation warnings"
Yosemite Area Regional Transportation System,374,Core,10 - Stockton,Static OK,RT Incomplete,,Yosemite Area Regional Transportation System,Yosemite Area Regional Transportation System,3 - GTFS data has zero validation errors
Transit Joint Powers Authority for Merced County,343,Core,10 - Stockton,Static OK,RT Incomplete,,"Merced The Micro Bus, Merced The Bus Paratransit","Merced The Bus, Merced The Micro Bus, Merced The Bus Paratransit","2 - GTFS data has active service,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings"
San Joaquin Regional Rail Commission,10,Core,10 - Stockton,Static OK,RT Incomplete,,Altamont Corridor Express,Altamont Corridor Express,2 - GTFS data has active service
San Joaquin Regional Transit District,284,Core,10 - Stockton,Static OK,RT Incomplete,,"RTD Van Go!, RTD Dial-A-Ride","RTD Van Go!, RTD Dial-A-Ride","2 - GTFS data has active service,2 - GTFS data has active service,2 - GTFS data has active service,2 - GTFS data has active service,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings"
City of Manteca,192,Core,10 - Stockton,Static OK,RT Incomplete,,"Manteca Transit, Manteca Dial-A-Ride","Manteca Transit, Manteca Dial-A-Ride","3 - GTFS data has zero validation errors,4 - GTFS data has zero validation warnings"
City of Lodi,168,Core,10 - Stockton,Static OK,RT Incomplete,,"Grapeline, Vineline and Dial-A-Ride","Grapeline, Vineline and Dial-A-Ride","2 - GTFS data has active service,4 - GTFS data has zero validation warnings"
