Award_Year,Award_Recipient,Implementing_Agency,Allocation_Allocation_Sheet,GGRF_Funding,Phase,Components,PTA-SB1 Allocation Amount,PPNO,Allocation_Date,Third_Party_Award_Date,Completion_Date,Phase_Completion_Date,Project_#,Project_Title,TIRCP_Award_Amount,Expended_Amount,Allocation_Amount_PROJECT,Allocated_Before_July_2020,Percent_of_Allocation_Expended,Percent_of_Award_Fully_Allocated
2015,San Diego Metropolitan Transit System (MTS),San Diego Metropolitan Transit System (MTS),27463000.0,27463000.0,CONST,Purchase 8 trolley vehicles to expand service on the Blue and Orange lines,0.0,CP008,2016-10-20,2016-11-01,2019-11-01,2019-11-01,9.0,San Diego Metropolitan Transit System Trolley Capacity Improvements,31986000.0,28176000.0,31936000.0,1,0.8822645290581163,0.9984368161070468
2015,San Francisco Municipal Transportation Agency,San Francisco Municipal Transportation Agency,41181000.0,41181000.0,CONST,Purchase 8 Zero-emission Light Rail Vehicles for MUNI Service Expansion,0.0,CP006,2015-12-10,2015-01-01,2018-12-10,2018-12-10,10.0,SFMTA Light Rail Vehicle Fleet Expansion,41181000.0,0.0,41181000.0,1,0.0,1.0
2015,San Joaquin Regional Rail Commission,San Joaquin Regional Rail Commission,15000.0,15000.0,PS&E,Installation of wayside power sources at ACE’s new Regional Maintenance Facility in Stockton,0.0,CP014,2017-08-17,,2019-11-13,2020-06-30,11.0,ACE Wayside Power Project,200000.0,200000.0,200000.0,1,1.0,1.0
2015,San Joaquin Regional Rail Commission,San Joaquin Regional Rail Commission,185000.0,185000.0,CONST,Installation of wayside power sources at ACE’s new Regional Maintenance Facility in Stockton,0.0,CP014,2018-01-31,2018-02-02,2019-11-13,2021-02-02,11.0,ACE Wayside Power Project,200000.0,200000.0,200000.0,1,1.0,1.0
2015,San Joaquin Regional Transit District,San Joaquin Regional Transit District,6841000.0,6841000.0,CONST,"Bus rapid transit infrastructure along the MLK Corridor and Crosstown Miner Corridor, including the acquisition of 12 new zero-emission electric vehicles",0.0,CP011,2017-01-19,2017-06-23,2020-03-30,2020-06-23,12.0,Bus Rapid Transit – Martin Luther King Corridor and Crosstown Miner Corridor,6841000.0,6841000.0,6841000.0,1,1.0,1.0
2015,Southern California Regional Rail Authority (Metrolink),Southern California Regional Rail Authority (Metrolink),41181000.0,41181000.0,CONST,Purchase nine of 20 locomotives that complete Metrolink's replacement program and expand service with three locomotives.,0.0,CP002,2016-03-17,2015-10-15,2022-09-30,2021-09-30,13.0,Purchase of Nine Fuel-Efficient Tier IV EMD F-125 Locomotives,41181000.0,37583067.0,41181000.0,1,0.9126312377067094,1.0
2015,Sonoma-Marin Area Rail Transit District,Sonoma-Marin Area Rail Transit District,11000000.0,11000000.0,CONST,"Purchase four rail cars, two ""A""cars and two ""B"" cars, for expansion of SMART's fleet",0.0,CP010,2016-03-17,2016-04-06,2021-12-30,,14.0,SMART Rail Car Capacity Project,11000000.0,1650000.0,11000000.0,1,0.15,1.0
2016,Antelope Valley Transit Authority ,Antelope Valley Transit Authority ,6481000.0,6481000.0,CONST,Purchase 15 zero-emission buses to be operated by AVTA and Kern Regional Transit within Los Angeles and Kern counties,0.0,CP018,2017-01-19,2017-03-22,2021-09-30,2021-09-30,,,0.0,0.0,,1,,
2016,Antelope Valley Transit Authority ,SunLine Transit Agency,2449000.0,2449000.0,CONST,Purchase 4 zero-emission buses to be operated by SunLine Transit within Coachella Valley,0.0,CP019,2017-01-19,2017-05-16,,2020-05-16,1.0,"Zero Emission Bus and Vanpool Expansion in the Antelope Valley, Kern County and the Coachella Valley",6481000.0,7874722.49,8930000.0,1,0.8818278264277716,1.3778737849097362
2016,Capitol Corridor Joint Powers Authority ,Capitol Corridor Joint Powers Authority ,200000.0,200000.0,CONST,Install 2 Standby Power Cabinets,0.0,CP023,2017-03-16,2019-01-09,2024-06-30,2021-01-09,2.0,"Increased Rail Service to Roseville, Service Optimization and Standby Power Investments",8999000.0,532908.06,3446000.0,1,0.15464540336622173,0.38293143682631403
2016,Capitol Corridor Joint Powers Authority ,Capitol Corridor Joint Powers Authority ,320000.0,320000.0,CONST,Optimization Study,0.0,CP023,2017-05-17,2017-06-01,2021-06-30,2020-05-23,2.0,"Increased Rail Service to Roseville, Service Optimization and Standby Power Investments",8999000.0,532908.06,3446000.0,1,0.15464540336622173,0.38293143682631403
2016,Capitol Corridor Joint Powers Authority ,Capitol Corridor Joint Powers Authority ,0.0,,CONST,Optimization Study,0.0,CP023,2017-05-17,2017-06-01,2021-06-30,2021-06-30,2.0,"Increased Rail Service to Roseville, Service Optimization and Standby Power Investments",8999000.0,532908.06,3446000.0,1,0.15464540336622173,0.38293143682631403
2016,Capitol Corridor Joint Powers Authority ,Capitol Corridor Joint Powers Authority ,886000.0,886000.0,PS&E,Sacramento to Roseville 3rd Mainline Track,0.0,CP023,2017-06-29,,,2019-06-30,2.0,"Increased Rail Service to Roseville, Service Optimization and Standby Power Investments",8999000.0,532908.06,3446000.0,1,0.15464540336622173,0.38293143682631403
2016,Capitol Corridor Joint Powers Authority ,Capitol Corridor Joint Powers Authority ,40000.0,40000.0,R/W,Sacramento to Roseville 3rd Mainline Track,0.0,CP023,2017-06-29,,,2019-06-30,2.0,"Increased Rail Service to Roseville, Service Optimization and Standby Power Investments",8999000.0,532908.06,3446000.0,1,0.15464540336622173,0.38293143682631403
2016,Capitol Corridor Joint Powers Authority ,Capitol Corridor Joint Powers Authority ,0.0,,PS&E,Sacramento to Roseville 3rd Mainline Track,0.0,CP023,2017-06-29,,,2024-02-28,2.0,"Increased Rail Service to Roseville, Service Optimization and Standby Power Investments",8999000.0,532908.06,3446000.0,1,0.15464540336622173,0.38293143682631403
2016,Capitol Corridor Joint Powers Authority ,Capitol Corridor Joint Powers Authority ,0.0,,R/W,Sacramento to Roseville 3rd Mainline Track,0.0,CP023,2017-06-29,,,2024-02-28,2.0,"Increased Rail Service to Roseville, Service Optimization and Standby Power Investments",8999000.0,532908.06,3446000.0,1,0.15464540336622173,0.38293143682631403
2016,Capitol Corridor Joint Powers Authority ,Capitol Corridor Joint Powers Authority ,0.0,,PS&E,Sacramento to Roseville 3rd Mainline Track,0.0,CP023,2017-06-29,,,2021-02-28,2.0,"Increased Rail Service to Roseville, Service Optimization and Standby Power Investments",8999000.0,532908.06,3446000.0,1,0.15464540336622173,0.38293143682631403
2016,Capitol Corridor Joint Powers Authority ,Capitol Corridor Joint Powers Authority ,0.0,,R/W,Sacramento to Roseville 3rd Mainline Track,0.0,CP023,2017-06-29,,,2021-02-28,2.0,"Increased Rail Service to Roseville, Service Optimization and Standby Power Investments",8999000.0,532908.06,3446000.0,1,0.15464540336622173,0.38293143682631403
2016,Capitol Corridor Joint Powers Authority ,Capitol Corridor Joint Powers Authority ,2000000.0,2000000.0,PS&E,Sacramento to Roseville 3rd Mainline Track,0.0,CP023,2018-08-16,,,2021-02-28,2.0,"Increased Rail Service to Roseville, Service Optimization and Standby Power Investments",8999000.0,532908.06,3446000.0,1,0.15464540336622173,0.38293143682631403
2016,Capitol Corridor Joint Powers Authority ,Capitol Corridor Joint Powers Authority ,0.0,,PS&E,Sacramento to Roseville 3rd Mainline Track,0.0,CP023,2018-08-16,,,2024-02-28,2.0,"Increased Rail Service to Roseville, Service Optimization and Standby Power Investments",8999000.0,532908.06,3446000.0,1,0.15464540336622173,0.38293143682631403
2016,Capitol Corridor Joint Powers Authority ,Capitol Corridor Joint Powers Authority ,0.0,,CONST,Sacramento to Roseville 3rd Mainline Track,0.0,CP023,,,,,2.0,"Increased Rail Service to Roseville, Service Optimization and Standby Power Investments",8999000.0,532908.06,3446000.0,1,0.15464540336622173,0.38293143682631403
2016,Foothill Transit,Foothill Transit,5000000.0,5000000.0,CONST,Purchase 20 zero-emission electric buses to extend Route 486 to Pomona Metrolink Station and increase frequencies,0.0,CP076,2021-06-24,,2024-06-01,2024-06-24,3.0,"Transforming California: Bus Electrification, Service Expansion and Rail Integration",5000000.0,0.0,5000000.0,0,0.0,1.0
2016,City of Fresno,City of Fresno,4083000.0,4083000.0,CONST,Modernize Fare Payment Systems,0.0,CP016,2016-12-08,2017-01-13,2022-12-30,2022-12-30,4.0,Metropolitan Rapid Transit and Rail Connectivity Project,8000000.0,0.0,8000000.0,1,0.0,1.0
2016,City of Fresno,City of Fresno,3917000.0,3917000.0,CONST,Bus Stop Improvements ,0.0,CP016,2020-06-25,,2024-06-24,2023-06-25,4.0,Metropolitan Rapid Transit and Rail Connectivity Project,8000000.0,0.0,8000000.0,1,0.0,1.0
2016,Los Angeles County Metropolitan Transportation Authority,Los Angeles County Metropolitan Transportation Authority,40000000.0,40000000.0,CONST,"Construct New Station to Connect LAX People Mover to Metro Green Line, Crenshaw Line and Buses",0.0,CP058,2020-06-25,,2025-07-30,2024-07-31,5.0,Airport Metro Connector 96th Street Station/Metro Green Line Extension to LAX,40000000.0,0.0,40000000.0,1,0.0,1.0
2016,Los Angeles County Metropolitan Transportation Authority,Los Angeles County Metropolitan Transportation Authority,1908000.0,1908000.0,PA&ED,Environmental assessment,0.0,CP020,2017-01-19,,2022-06-30,2019-06-30,6.0,Metro Red Line and Purple Line Core Capacity Improvements,69209000.0,4220881.34,69446000.0,1,0.0607793298390116,1.003424410120071
2016,Los Angeles County Metropolitan Transportation Authority,Los Angeles County Metropolitan Transportation Authority,3101000.0,3101000.0,PS&E,Final design,0.0,CP020,2017-06-29,,2019-05-21,,6.0,Metro Red Line and Purple Line Core Capacity Improvements,69209000.0,4220881.34,69446000.0,1,0.0607793298390116,1.003424410120071
2016,Los Angeles County Metropolitan Transportation Authority,Los Angeles County Metropolitan Transportation Authority,64437000.0,64437000.0,CONST,Construction,0.0,CP020,2019-12-05,2020-03-26,2024-07-25,2024-07-31,6.0,Metro Red Line and Purple Line Core Capacity Improvements,69209000.0,4220881.34,69446000.0,1,0.0607793298390116,1.003424410120071
2016,Los Angeles-San Diego-San Luis Obispo Rail Corridor Agency (LOSSAN),Los Angeles-San Diego-San Luis Obispo Rail Corridor Agency (LOSSAN),500000.0,500000.0,CONST,LOSSAN North Robust Timetable,0.0,CP043,2018-10-18,2019-01-14,2021-12-31,2021-12-31,,,0.0,0.0,,1,,
2016,Los Angeles-San Diego-San Luis Obispo Rail Corridor Agency (LOSSAN),Los Angeles-San Diego-San Luis Obispo Rail Corridor Agency (LOSSAN),500000.0,500000.0,CONST,LOSSAN Wide Network Integration & Strategic Investment Planning,0.0,CP043,2018-10-18,2019-01-14,2021-12-31,2021-12-31,,,0.0,0.0,,1,,
2016,Los Angeles-San Diego-San Luis Obispo Rail Corridor Agency (LOSSAN),Los Angeles-San Diego-San Luis Obispo Rail Corridor Agency (LOSSAN),5860000.0,5860000.0,CONST,Island Centralized Traffic Control,0.0,CP043,2021-01-28,2020-02-18,2024-01-28,2024-01-28,,,0.0,0.0,,0,,
2016,Los Angeles-San Diego-San Luis Obispo Rail Corridor Agency (LOSSAN),Los Angeles-San Diego-San Luis Obispo Rail Corridor Agency (LOSSAN),1000000.0,1000000.0,CONST,Upgrade of Non-Powered Switches,0.0,CP043,2021-01-28,2020-02-18,2024-01-28,2024-01-28,,,0.0,0.0,,0,,
2016,Los Angeles-San Diego-San Luis Obispo Rail Corridor Agency (LOSSAN),Los Angeles-San Diego-San Luis Obispo Rail Corridor Agency (LOSSAN),0.0,,CONST,"On-Time Performance for Service Improvements
(UPRR) ",0.0,CP043,,,,,,,0.0,0.0,,1,,
2016,Los Angeles-San Diego-San Luis Obispo Rail Corridor Agency (LOSSAN),San Diego Association of Governments (SANDAG),49995000.0,49995000.0,CONST,Elvira to Morena Double Track,0.0,CP021,2017-03-16,2017-02-28,2022-10-31,2020-03-16,7.0,All Aboard: Transforming Southern California Rail Travel,82000000.0,66831938.8,74460000.0,1,0.8975549127048079,0.9080487804878049
2016,Los Angeles-San Diego-San Luis Obispo Rail Corridor Agency (LOSSAN),San Diego Association of Governments (SANDAG),11988000.0,11988000.0,CONST,Elvira to Morena Double Track,0.0,CP021,2018-02-01,2017-02-28,2022-10-31,,7.0,All Aboard: Transforming Southern California Rail Travel,82000000.0,66831938.8,74460000.0,1,0.8975549127048079,0.9080487804878049
2016,Los Angeles-San Diego-San Luis Obispo Rail Corridor Agency (LOSSAN),San Diego Association of Governments (SANDAG),4017000.0,4017000.0,CONST,Carlsbad Poinsettia Station,0.0,CP024,2017-06-29,2018-02-03,2022-01-16,2021-02-03,,,0.0,0.0,,1,,
2016,Los Angeles-San Diego-San Luis Obispo Rail Corridor Agency (LOSSAN),San Diego Association of Governments (SANDAG),600000.0,600000.0,CONST,Carlsbad Poinsettia Station,0.0,CP024,2020-06-25,2018-02-03,2022-01-16,2022-01-16,,,0.0,0.0,,1,,
2016,Orange County Transportation Authority (OCTA),Orange County Transportation Authority (OCTA),2482000.0,2482000.0,CONST,Mobile ticketing implementation on fixed route bus system,0.0,CP017,2016-10-20,2016-11-21,2018-02-01,2019-11-21,8.0,OC Streetcar and OCTA System-Wide Mobile Ticketing,28000000.0,0.0,28000000.0,1,0.0,1.0
2016,Orange County Transportation Authority (OCTA),Orange County Transportation Authority (OCTA),25518000.0,25518000.0,CONST,"New line connecting SARTC with new multimodal hub at Harbor Blvd, 8 LRVs",0.0,CP017,2018-05-17,2018-11-19,2022-10-31,2021-02-28,8.0,OC Streetcar and OCTA System-Wide Mobile Ticketing,28000000.0,0.0,28000000.0,1,0.0,1.0
2016,Peninsula Corridor Joint Powers Board ,Peninsula Corridor Joint Powers Board ,20000000.0,20000000.0,CONST,Electrify Caltrain Corridor and Procurement of electric multiple unit vehicles ,0.0,CP022,2017-06-29,2016-08-15,2022-08-22,2022-08-22,9.0,Peninsula Corridor Electrification Project,20000000.0,14102518.859999998,20000000.0,1,0.7051259429999999,1.0
2016,Sacramento Regional Transit District,Sacramento Regional Transit District,0.0,,CONST,Construct new streetcar line linking Sacramento and West Sacramento,0.0,CP080,2026-12-31,,,,10.0,Downtown/Riverfront Sacramento-West Sacramento Streetcar,30000000.0,0.0,0.0,0,,0.0
2016,San Bernardino County Transportation Authority (SBCTA),San Bernardino County Transportation Authority (SBCTA),9204000.0,9204000.0,CONST,Construct new Rail System linking San Bernardino and the University of Redlands,0.0,1230,2018-10-18,2019-05-15,2022-07-31,2022-06-01,11.0,Redlands Passenger Rail Project,9204000.0,9204000.0,9204000.0,1,1.0,1.0
2016,San Francisco Municipal Transportation Agency,San Francisco Municipal Transportation Agency,45092000.0,45092000.0,CONST,Purchase 10 Expansion Light Rail Vehicles to Increase Capacity and Improve Service,0.0,CP006,2017-05-18,2015-01-01,2020-05-07,,12.0,Light Rail Modernization and Expansion Program,45092000.0,0.0,45092000.0,1,0.0,1.0
2016,San Joaquin Regional Rail Commission,San Joaquin Regional Rail Commission,0.0,0.0,PA&ED,Platforms (PA&ED-exempt),0.0,CP025,2018-06-28,,,2020-06-30,13.0," ACE Near-Term Capacity Improvement Program
",16459000.0,0.0,8000000.0,1,0.0,0.48605626101221217
2016,San Joaquin Regional Rail Commission,San Joaquin Regional Rail Commission,500000.0,500000.0,PS&E,Platforms (PS&E),0.0,CP025,2018-06-28,,2022-01-01,2020-06-30,13.0," ACE Near-Term Capacity Improvement Program
",16459000.0,0.0,8000000.0,1,0.0,0.48605626101221217
2016,San Joaquin Regional Rail Commission,San Joaquin Regional Rail Commission,0.0,,CONST,Platforms (Construction),0.0,CP025,,,,,13.0," ACE Near-Term Capacity Improvement Program
",16459000.0,0.0,8000000.0,1,0.0,0.48605626101221217
2016,San Joaquin Regional Rail Commission,San Joaquin Regional Rail Commission,7500000.0,7500000.0,CONST,Procurement of Tier IV Locomotives,0.0,CP025,2017-08-17,2018-04-20,2021-04-20,2021-04-20,13.0," ACE Near-Term Capacity Improvement Program
",16459000.0,0.0,8000000.0,1,0.0,0.48605626101221217
2016,Santa Clara Valley Transportation Authority,Santa Clara Valley Transportation Authority,0.0,,CONST,Procurement of BART Vehicles for BART to San Jose Extension,0.0,CP057,,2023-12-30,2030-06-01,,14.0,BART Silicon Valley Phase II Extension,20000000.0,0.0,0.0,1,,0.0
2016,San Joaquin Regional Rail Commission,San Joaquin Regional Rail Commission,16752568.0,,PA&ED,PA&ED Consulting Services,0.0,CP026,,2020-02-07,2027-12-01,,15.0,SB 132 ACE Extension Lathrop to Ceres/Merced,400000000.0,16750767.999999998,102899816.0,1,0.16278715211696781,0.25724954
2016,San Joaquin Regional Rail Commission,San Joaquin Regional Rail Commission,14698284.0,,CONST,Procurement of Two Tier IV locomotives,0.0,CP026,,2020-02-07,2027-12-01,,15.0,SB 132 ACE Extension Lathrop to Ceres/Merced,400000000.0,16750767.999999998,102899816.0,1,0.16278715211696781,0.25724954
2016,San Joaquin Regional Rail Commission,San Joaquin Regional Rail Commission,34006667.0,,PS&E,"PS&E for Stations, track work, and layover facilities",0.0,CP026,,2020-02-07,2027-12-01,,15.0,SB 132 ACE Extension Lathrop to Ceres/Merced,400000000.0,16750767.999999998,102899816.0,1,0.16278715211696781,0.25724954
2016,San Joaquin Regional Rail Commission,San Joaquin Regional Rail Commission,5152297.0,,ROW,ROW for Stations and layover facilities,0.0,CP026,,2020-02-07,2027-12-01,,15.0,SB 132 ACE Extension Lathrop to Ceres/Merced,400000000.0,16750767.999999998,102899816.0,1,0.16278715211696781,0.25724954
2016,San Joaquin Regional Rail Commission,San Joaquin Regional Rail Commission,19000000.0,,CONST,Procurement of bi-level cab cars,0.0,CP026,,2020-02-07,2027-12-01,,15.0,SB 132 ACE Extension Lathrop to Ceres/Merced,400000000.0,16750767.999999998,102899816.0,1,0.16278715211696781,0.25724954
2016,San Joaquin Regional Rail Commission,San Joaquin Regional Rail Commission,13290000.0,,CONST,Working Capital,0.0,CP026,,2020-02-07,2027-12-01,,15.0,SB 132 ACE Extension Lathrop to Ceres/Merced,400000000.0,16750767.999999998,102899816.0,1,0.16278715211696781,0.25724954
2018,Alameda Contra Costa Transit District ,Alameda Contra Costa Transit District ,6500000.0,2988000.0,CONST,Zero-Emission Buses for Service Expansion,3512000.0,2320B,2020-10-22,2020-11-01,2024-04-01,,1.0,Purchase Zero Emission High Capacity Buses to Support Transbay Tomorrow and Clean Corridors Plan,14000000.0,500000.0,8000000.0,0,0.0625,0.5714285714285714
2018,Alameda Contra Costa Transit District ,Alameda Contra Costa Transit District ,1000000.0,459000.0,PS&E,Facilities and bus charging infrastructure,541000.0,2320B,2020-10-22,2020-11-01,2021-10-01,,1.0,Purchase Zero Emission High Capacity Buses to Support Transbay Tomorrow and Clean Corridors Plan,14000000.0,500000.0,8000000.0,0,0.0625,0.5714285714285714
2018,Alameda Contra Costa Transit District ,Alameda Contra Costa Transit District ,0.0,,CONST,Facilities and bus charging infrastructure,0.0,2320B,,,,,1.0,Purchase Zero Emission High Capacity Buses to Support Transbay Tomorrow and Clean Corridors Plan,14000000.0,500000.0,8000000.0,1,0.0625,0.5714285714285714
2018,Alameda Contra Costa Transit District ,Alameda Contra Costa Transit District ,500000.0,0.0,CONST,Network Integration,500000.0,2320B,2018-10-18,2019-04-19,2020-06-30,,1.0,Purchase Zero Emission High Capacity Buses to Support Transbay Tomorrow and Clean Corridors Plan,14000000.0,500000.0,8000000.0,1,0.0625,0.5714285714285714
2018,Anaheim Transportation Network (ATN),Anaheim Transportation Network (ATN),802000.0,355000.0,CONST,"10 Micro transit Electric Vehicles, Signage & Mobile App Development",447000.0,CP027,2018-08-16,2019-02-13,2020-06-30,2020-06-30,2.0,#Electrify Anaheim: Changing the Transit Paradigm in Southern California,28617000.0,15829360.479999999,28617000.0,1,0.5531453499668029,1.0
2018,Anaheim Transportation Network (ATN),Anaheim Transportation Network (ATN),22857000.0,10134000.0,CONST,40 Zero-Emission Electric Buses,12723000.0,CP027,2018-12-06,2019-07-23,2023-06-30,2023-06-30,2.0,#Electrify Anaheim: Changing the Transit Paradigm in Southern California,28617000.0,15829360.479999999,28617000.0,1,0.5531453499668029,1.0
2018,Anaheim Transportation Network (ATN),Anaheim Transportation Network (ATN),4958000.0,2198000.0,CONST,Construction of New O&M facility with Solar Canopy to Charge Zero-Emission Vehicles,2760000.0,CP027,2019-10-09,2020-04-03,2023-04-03,2021-06-01,2.0,#Electrify Anaheim: Changing the Transit Paradigm in Southern California,28617000.0,15829360.479999999,28617000.0,1,0.5531453499668029,1.0
2018,Antelope Valley Transit Authority & Long Beach Transit,Antelope Valley Transit Authority ,7755000.0,3505000.0,CONST,7 Zero-Emission Electric Buses and Upgrades to Supporting Infrastructure,4250000.0,CP028,2018-10-18,2019-07-02,2021-07-31,2021-07-31,3.0,From the Desert to the Sea: Antelope Valley Transit Authority and Long Beach Transit Zero Emission Bus Initiative,9205000.0,2641815.2499999995,9205000.0,1,0.2869978544269418,1.0
2018,Antelope Valley Transit Authority & Long Beach Transit,Antelope Valley Transit Authority ,1200000.0,542000.0,CONST,Facility Improvements,658000.0,CP028,2020-05-14,2020-07-13,2023-07-13,2023-07-13,3.0,From the Desert to the Sea: Antelope Valley Transit Authority and Long Beach Transit Zero Emission Bus Initiative,9205000.0,2641815.2499999995,9205000.0,1,0.2869978544269418,1.0
2018,Antelope Valley Transit Authority & Long Beach Transit,Antelope Valley Transit Authority ,250000.0,0.0,CONST,Network Integration,250000.0,CP028,2018-10-18,2019-01-07,2022-01-07,2022-01-07,3.0,From the Desert to the Sea: Antelope Valley Transit Authority and Long Beach Transit Zero Emission Bus Initiative,9205000.0,2641815.2499999995,9205000.0,1,0.2869978544269418,1.0
2018,Bay Area Rapid Transit District,Bay Area Rapid Transit District,51492000.0,22831000.0,CONST,New BART Rail Vehicles and Communication-Based Train Control System for Improved Service(Acquisition of 272 new rail vehicles and communication- based train control systems to allow for increase service frequency),28661000.0,CP055,2019-12-05,2020-09-16,2030-01-01,2030-12-30,4.0,The Transbay Corridor Core Capacity Program: Vehicle Acquistion and Communications-Based Train Control System,318600000.0,0.0,368600000.0,1,0.0,1.1569365976145638
2018,Bay Area Rapid Transit District,Bay Area Rapid Transit District,267108000.0,118436000.0,CONST,New BART Rail Vehicles and Communication-Based Train Control System for Improved Service(Acquisition of 272 new rail vehicles and communication- based train control systems to allow for increase service frequency),148672000.0,CP055,2021-05-14,2020-09-16,2030-01-01,2030-12-30,4.0,The Transbay Corridor Core Capacity Program: Vehicle Acquistion and Communications-Based Train Control System,318600000.0,0.0,368600000.0,0,0.0,1.1569365976145638
2018,Bay Area Rapid Transit District,Bay Area Rapid Transit District,50000000.0,,CONST,New BART Rail Vehicles and Communication-Based Train Control System for Improved Service(Acquisition of 272 new rail vehicles and communication- based train control systems to allow for increase service frequency),50000000.0,CP055,,,,,4.0,The Transbay Corridor Core Capacity Program: Vehicle Acquistion and Communications-Based Train Control System,318600000.0,0.0,368600000.0,1,0.0,1.1569365976145638
2018,Capitol Corridor Joint Powers Authority ,Capitol Corridor Joint Powers Authority ,80000.0,37000.0,PA&ED,South Bay Connector Project,43000.0,CP036,2018-12-06,,2022-02-16,2021-06-30,5.0,The Northern California Corridor Enhancement Program,80340000.0,29586486.45,50040000.0,1,0.5912567236211032,0.6228528752800597
2018,Capitol Corridor Joint Powers Authority ,Capitol Corridor Joint Powers Authority ,3120000.0,1418000.0,PA&ED,South Bay Connector Project,1702000.0,CP036,2018-08-16,,2022-02-16,2021-06-30,5.0,The Northern California Corridor Enhancement Program,80340000.0,29586486.45,50040000.0,1,0.5912567236211032,0.6228528752800597
